,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,8.8%
1,Reliance Industries Ltd.,Energy,Equity,8.6%
2,HDFC Bank Ltd.,Financial,Equity,7.6%
3,Housing Development Finance Corporation Ltd.,Financial,Equity,6.7%
4,Infosys Ltd.,Technology,Equity,6.4%
5,Larsen & Toubro Ltd.,Construction,Equity,5.5%
6,State Bank of India,Financial,Equity,4.4%
7,Axis Bank Ltd.,Financial,Equity,4.1%
8,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,3.7%
9,Tata Consultancy Services Ltd.,Technology,Equity,2.8%
10,Maruti Suzuki India Ltd.,Automobile,Equity,2.8%
11,Ashok Leyland Ltd.,Automobile,Equity,2.5%
12,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.3%
13,Bharti Airtel Ltd.,Communication,Equity,2.2%
14,Bajaj Finserv Ltd.,Financial,Equity,1.7%
15,Indusind Bank Ltd.,Financial,Equity,1.7%
16,Varun Beverages Ltd.,Consumer Staples,Equity,1.6%
17,Cipla Ltd.,Healthcare,Equity,1.4%
18,Interglobe Aviation Ltd.,Services,Equity,1.3%
19,NTPC Ltd.,Energy,Equity,1.3%
20,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,1.3%
21,Ultratech Cement Ltd.,Construction,Equity,1.1%
22,HCL Technologies Ltd.,Technology,Equity,1.1%
23,United Spirits Ltd.,Consumer Staples,Equity,1.0%
24,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.0%
25,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.0%
26,Hindalco Industries Ltd.,Metals & Mining,Equity,0.9%
27,Titan Company Ltd.,Consumer Discretionary,Equity,0.8%
28,ITC Ltd.,Consumer Staples,Equity,0.8%
29,LTIMindtree Ltd.,Technology,Equity,0.8%
30,Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,Equity,0.8%
31,Tata Consumer Products Ltd.,Consumer Staples,Equity,0.8%
32,Avenue Supermarts Ltd.,Services,Equity,0.8%
33,Wipro Ltd.,Technology,Equity,0.7%
34,Bajaj Finance Ltd.,Financial,Equity,0.7%
35,Canara Bank,Financial,Equity,0.6%
36,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.6%
37,Britannia Industries Ltd.,Consumer Staples,Equity,0.6%
38,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.6%
39,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.6%
40,SBI Life Insurance Company Ltd.,Insurance,Equity,0.6%
41,Page Industries Ltd.,Textiles,Equity,0.5%
42,Havells India Ltd.,Capital Goods,Equity,0.5%
43,ABB India Ltd.,Capital Goods,Equity,0.4%
44,SRF Ltd.,Diversified,Equity,0.4%
45,Bharat Heavy Electricals Ltd.,Capital Goods,Equity,0.3%
46,Asian Paints Ltd.,Chemicals,Equity,0.3%
47,Divi's Laboratories Ltd.,Healthcare,Equity,0.1%
48,CE Info Systems Ltd.,Technology,Equity,0.1%
