,Name,Sector,Instrument,Assets
0,The Federal Bank Ltd.,Financial,Equity,3.9%
1,Schaeffler India Ltd.,Capital Goods,Equity,3.0%
2,Navin Fluorine International Ltd.,Chemicals,Equity,2.7%
3,Shriram Finance Ltd,Financial,Equity,2.7%
4,Cummins India Ltd.,Capital Goods,Equity,2.5%
5,Grindwell Norton Ltd.,Metals & Mining,Equity,2.5%
6,Tube Investments Of India Ltd.,Automobile,Equity,2.4%
7,Persistent Systems Ltd.,Technology,Equity,2.4%
8,Trent Ltd.,Services,Equity,2.3%
9,Coromandel International Ltd.,Chemicals,Equity,2.3%
10,Dalmia Bharat Ltd.,Construction,Equity,2.2%
11,Bharat Electronics Ltd.,Capital Goods,Equity,2.1%
12,Axis Bank Ltd.,Financial,Equity,2.1%
13,Fortis Healthcare Ltd.,Healthcare,Equity,2.0%
14,Varun Beverages Ltd.,Consumer Staples,Equity,2.0%
15,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,2.0%
16,Gujarat State Petronet Ltd.,Energy,Equity,2.0%
17,Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.9%
18,AU Small Finance Bank Ltd.,Financial,Equity,1.8%
19,Zydus Lifesciences Ltd.,Healthcare,Equity,1.8%
20,Bank Of Baroda,Financial,Equity,1.7%
21,Max Financial Services Ltd.,Financial,Equity,1.7%
22,Oberoi Realty Ltd.,Construction,Equity,1.7%
23,United Breweries Ltd.,Consumer Staples,Equity,1.6%
24,Page Industries Ltd.,Textiles,Equity,1.6%
25,Jubilant FoodWorks Ltd.,Services,Equity,1.6%
26,Ashok Leyland Ltd.,Automobile,Equity,1.6%
27,Kalyan Jewellers India Ltd.,Consumer Discretionary,Equity,1.5%
28,Zee Entertainment Enterprises Ltd.,Services,Equity,1.5%
29,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.5%
30,State Bank of India,Financial,Equity,1.5%
31,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.4%
32,Voltas Ltd.,Consumer Discretionary,Equity,1.4%
33,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,1.4%
34,Polycab India Ltd.,Capital Goods,Equity,1.3%
35,Astral Ltd.,Chemicals,Equity,1.3%
36,Ipca Laboratories Ltd.,Healthcare,Equity,1.3%
37,Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.2%
38,Sundaram-Clayton Ltd.,Automobile,Equity,1.2%
39,Hatsun Agro Product Ltd.,Consumer Staples,Equity,1.2%
40,UNO Minda Ltd.,Automobile,Equity,1.1%
41,Laurus Labs Ltd.,Healthcare,Equity,1.1%
42,Bharat Forge Ltd.,Automobile,Equity,1.1%
43,Container Corporation Of India Ltd.,Services,Equity,1.1%
44,PI Industries Ltd.,Chemicals,Equity,1.1%
45,ICICI Bank Ltd.,Financial,Equity,1.1%
46,SRF Ltd.,Diversified,Equity,1.0%
47,Aavas Financiers Ltd.,Financial,Equity,1.0%
48,LTIMindtree Ltd.,Technology,Equity,1.0%
49,Metro Brands Ltd.,Consumer Staples,Equity,1.0%
50,Gland Pharma Ltd.,Healthcare,Equity,1.0%
51,Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.9%
52,Chalet Hotels Ltd.,Services,Equity,0.9%
53,Lupin Ltd.,Healthcare,Equity,0.8%
54,TVS Motor Company Ltd.,Automobile,Equity,0.8%
55,Kajaria Ceramics Ltd.,Construction,Equity,0.7%
56,Emami Ltd.,Consumer Staples,Equity,0.7%
57,APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.6%
58,Indraprastha Gas Ltd.,Energy,Equity,0.6%
59,PB Fintech Ltd.,Services,Equity,0.6%
60,Mphasis Ltd.,Technology,Equity,0.5%
61,Balkrishna Industries Ltd.,Automobile,Equity,0.5%
62,Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.4%
63,Sundaram Clayton Limited,Automobile,Pref. Shares,0.4%
64,Star Health and Allied Insurance Company Ltd.,Insurance,Equity,0.3%
65,Torrent Power Ltd.,Energy,Equity,0.3%
66,K.P.R. Mill Ltd.,Textiles,Equity,0.1%
