,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,5.8%
1,Reliance Industries Ltd.,Energy,Equity,5.5%
2,HDFC Bank Ltd.,Financial,Equity,4.8%
3,Infosys Ltd.,Technology,Equity,4.2%
4,State Bank of India,Financial,Equity,4.0%
5,Axis Bank Ltd.,Financial,Equity,2.9%
6,Hindustan Unilever Ltd.,Consumer Staples,Equity,2.5%
7,KSB Ltd.,Capital Goods,Equity,2.3%
8,Suven Pharmaceuticals Ltd.,Healthcare,Equity,2.3%
9,Navin Fluorine International Ltd.,Chemicals,Equity,2.3%
10,ICRA Ltd.,Services,Equity,2.2%
11,Bharti Airtel Ltd.,Communication,Equity,2.1%
12,Fortis Healthcare Ltd.,Healthcare,Equity,2.0%
13,Kei Industries Ltd.,Capital Goods,Equity,2.0%
14,Schaeffler India Ltd.,Capital Goods,Equity,1.9%
15,Polycab India Ltd.,Capital Goods,Equity,1.8%
16,Tata Consultancy Services Ltd.,Technology,Equity,1.8%
17,Maruti Suzuki India Ltd.,Automobile,Equity,1.8%
18,Aavas Financiers Ltd.,Financial,Equity,1.8%
19,Brigade Enterprises Ltd.,Construction,Equity,1.8%
20,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.7%
21,Ashok Leyland Ltd.,Automobile,Equity,1.5%
22,United Breweries Ltd.,Consumer Staples,Equity,1.5%
23,Tata Steel Ltd.,Metals & Mining,Equity,1.5%
24,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.4%
25,SBI Life Insurance Company Ltd.,Insurance,Equity,1.4%
26,3M India Ltd.,Diversified,Equity,1.4%
27,PNC Infratech Ltd.,Construction,Equity,1.4%
28,Metro Brands Ltd.,Consumer Staples,Equity,1.4%
29,TCI Express Ltd.,Services,Equity,1.4%
30,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.4%
31,Housing Development Finance Corporation Ltd.,Financial,Equity,1.4%
32,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.3%
33,Jubilant FoodWorks Ltd.,Services,Equity,1.3%
34,PVR Ltd.,Services,Equity,1.3%
35,Blue Star Ltd.,Consumer Discretionary,Equity,1.2%
36,Birla Corporation Ltd.,Construction,Equity,1.2%
37,Gland Pharma Ltd.,Healthcare,Equity,1.2%
38,Grindwell Norton Ltd.,Metals & Mining,Equity,1.2%
39,Neogen Chemicals Ltd.,Chemicals,Equity,1.1%
40,Greenpanel Industries Ltd.,Consumer Staples,Equity,1.0%
41,Amber Enterprises India Ltd.,Consumer Discretionary,Equity,1.0%
42,Kajaria Ceramics Ltd.,Construction,Equity,1.0%
43,Cyient Ltd.,Technology,Equity,1.0%
44,Hatsun Agro Product Ltd.,Consumer Staples,Equity,0.9%
45,PI Industries Ltd.,Chemicals,Equity,0.9%
46,Tube Investments Of India Ltd.,Automobile,Equity,0.9%
47,Avenue Supermarts Ltd.,Services,Equity,0.9%
48,Page Industries Ltd.,Textiles,Equity,0.8%
49,SRF Ltd.,Diversified,Equity,0.7%
50,JK Cement Ltd.,Construction,Equity,0.7%
51,The Federal Bank Ltd.,Financial,Equity,0.7%
52,NTPC Ltd.,Energy,Equity,0.7%
53,Bajaj Finance Ltd.,Financial,Equity,0.6%
54,Chalet Hotels Ltd.,Services,Equity,0.6%
55,APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.6%
56,Bharat Electronics Ltd.,Capital Goods,Equity,0.5%
57,Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.5%
58,Astral Ltd.,Chemicals,Equity,0.5%
59,Affle (India) Ltd.,Technology,Equity,0.4%
60,LTIMindtree Ltd.,Technology,Equity,0.4%
61,BEML Land Assets Ltd.,Services,Equity,0.2%
