,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,9.8%
1,Housing Development Finance Corporation Ltd.,Financial,Equity,7.6%
2,Bharti Airtel Ltd.,Communication,Equity,6.8%
3,Reliance Industries Ltd.,Energy,Equity,5.3%
4,HDFC Bank Ltd.,Financial,Equity,4.6%
5,Axis Bank Ltd.,Financial,Equity,3.3%
6,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,3.0%
7,LTIMindtree Ltd.,Technology,Equity,2.8%
8,Titan Company Ltd.,Consumer Discretionary,Equity,2.8%
9,Zee Entertainment Enterprises Ltd.,Services,Equity,2.6%
10,PVR Ltd.,Services,Equity,2.6%
11,SBI Life Insurance Company Ltd.,Insurance,Equity,2.5%
12,The Phoenix Mills Ltd.,Construction,Equity,2.3%
13,Westlife Foodworld Ltd.,Services,Equity,2.0%
14,Indraprastha Gas Ltd.,Energy,Equity,2.0%
15,Persistent Systems Ltd.,Technology,Equity,1.7%
16,Multi Commodity Exchange Of India Ltd.,Services,Equity,1.7%
17,Indusind Bank Ltd.,Financial,Equity,1.6%
18,Container Corporation Of India Ltd.,Services,Equity,1.6%
19,Equitas Small Finance Bank Ltd.,Financial,Equity,1.5%
20,Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.5%
21,Page Industries Ltd.,Textiles,Equity,1.5%
22,Home First Finance Company India Ltd.,Financial,Equity,1.4%
23,Fortis Healthcare Ltd.,Healthcare,Equity,1.4%
24,Affle (India) Ltd.,Technology,Equity,1.3%
25,Dreamfolks Services Ltd.,Services,Equity,1.2%
26,Sapphire Foods India Ltd.,Services,Equity,1.2%
27,CreditAccess Grameen Ltd.,Financial,Equity,1.2%
28,Info Edge (India) Ltd.,Services,Equity,1.1%
29,Chalet Hotels Ltd.,Services,Equity,1.0%
30,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.0%
31,CSB Bank Ltd.,Financial,Equity,1.0%
32,Angel One Ltd.,Financial,Equity,1.0%
33,Metropolis Healthcare Ltd.,Healthcare,Equity,0.9%
34,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,0.9%
35,Aavas Financiers Ltd.,Financial,Equity,0.9%
36,UTI Asset Management Company Ltd.,Financial,Equity,0.8%
37,Transport Corporation Of India Ltd.,Services,Equity,0.8%
38,SIS Ltd.,Services,Equity,0.8%
39,Global Health Ltd.,Healthcare,Equity,0.8%
40,AU Small Finance Bank Ltd.,Financial,Equity,0.7%
41,HDFC Life Insurance Co Ltd.,Insurance,Equity,0.7%
42,CE Info Systems Ltd.,Technology,Equity,0.6%
43,Kotak Mahindra Bank Ltd.,Financial,Equity,0.6%
44,Bajaj Finance Ltd.,Financial,Equity,0.5%
45,MakeMy Trip Ltd.,Services,Forgn. Eq,0.3%
