,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,13.5%
1,HDFC Bank Ltd.,Financial,Equity,13.1%
2,Axis Bank Ltd.,Financial,Equity,8.6%
3,Housing Development Finance Corporation Ltd.,Financial,Equity,8.1%
4,State Bank of India,Financial,Equity,6.6%
5,Kotak Mahindra Bank Ltd.,Financial,Equity,5.0%
6,Karur Vysya Bank Ltd.,Financial,Equity,3.6%
7,RBL Bank Ltd.,Financial,Equity,3.0%
8,IDFC First Bank Ltd.,Financial,Equity,2.9%
9,Indian Bank,Financial,Equity,2.7%
10,Equitas Small Finance Bank Ltd.,Financial,Equity,2.7%
11,PNB Housing Finance Ltd.,Financial,Equity,2.6%
12,Manappuram Finance Ltd.,Financial,Equity,2.6%
13,Indusind Bank Ltd.,Financial,Equity,2.5%
14,DCB Bank Ltd.,Financial,Equity,2.4%
15,SBI Cards And Payment Services Ltd.,Financial,Equity,2.3%
16,Bandhan Bank Ltd.,Financial,Equity,2.3%
17,Spandana Sphoorty Financial Ltd.,Financial,Equity,1.9%
18,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.8%
19,HDFC Life Insurance Co Ltd.,Insurance,Equity,1.8%
20,UTI Asset Management Company Ltd.,Financial,Equity,1.8%
21,Max Financial Services Ltd.,Financial,Equity,1.2%
22,360 One Wam Ltd,Financial,Equity,1.1%
23,Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.1%
24,SBI Life Insurance Company Ltd.,Insurance,Equity,0.9%
25,Fino Payments Bank Ltd.,Financial,Equity,0.6%
26,Piramal Enterprises Ltd.,Healthcare,Equity,0.4%
27,Piramal Pharma Ltd.,Healthcare,Equity,0.2%
