,Name,Sector,Instrument,Assets
0,Infosys Ltd.,Technology,Equity,23.6%
1,Tata Consultancy Services Ltd.,Technology,Equity,18.5%
2,LTIMindtree Ltd.,Technology,Equity,8.5%
3,HCL Technologies Ltd.,Technology,Equity,8.5%
4,Bharti Airtel Ltd.,Communication,Equity,7.5%
5,Tech Mahindra Ltd.,Technology,Equity,7.0%
6,Wipro Ltd.,Technology,Equity,2.2%
7,Persistent Systems Ltd.,Technology,Equity,1.9%
8,Cyient Ltd.,Technology,Equity,1.8%
9,INVESCO NASDAQ 100 ETF QQQM,Financial,Forgn.MF- Equity,1.6%
10,Global X Cybersecurity,Financial,Forgn.MF- Equity,1.5%
11,Coforge Ltd.,Technology,Equity,1.5%
12,Info Edge (India) Ltd.,Services,Equity,1.3%
13,Firstsource Solutions Ltd.,Services,Equity,1.1%
14,ABB India Ltd.,Capital Goods,Equity,1.0%
15,Tata Communications Ltd.,Communication,Equity,0.9%
16,Siemens Ltd.,Capital Goods,Equity,0.8%
17,Redington Ltd.,Services,Equity,0.8%
18,Cognizant Technology Solutions Corp.,Technology,Forgn. Eq,0.8%
19,Zomato Ltd.,Services,Equity,0.7%
20,PB Fintech Ltd.,Services,Equity,0.7%
21,Accenture PLC,Others,Forgn. Eq,0.7%
22,Amazon. com Inc. (USA),Services,Forgn. Eq,0.7%
23,Mphasis Ltd.,Technology,Equity,0.6%
24,Honeywell Automation India Ltd.,Capital Goods,Equity,0.6%
25,Railtel Corporation Of India Ltd.,Communication,Equity,0.4%
26,Birlasoft Ltd.,Technology,Equity,0.4%
27,Zensar Technologies Ltd.,Technology,Equity,0.4%
28,eClerx Services Ltd.,Services,Equity,0.3%
29,Adobe Systems Inc. (USA),Technology,Forgn. Eq,0.3%
30,Microsoft Corportion (US),Technology,Forgn. Eq,0.3%
31,Alphabet Inc Class A,Services,Forgn. Eq,0.2%
32,L&T Technology Services Ltd.,Technology,Equity,0.2%
33,Globant S.A.,Technology,Forgn. Eq,0.2%
34,KPIT Technologies Ltd.,Technology,Equity,0.1%
