,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,9.0%
1,ICICI Bank Ltd.,Financial,Equity,8.3%
2,ITC Ltd.,Consumer Staples,Equity,6.7%
3,Housing Development Finance Corporation Ltd.,Financial,Equity,6.0%
4,Reliance Industries Ltd.,Energy,Equity,5.3%
5,Hindustan Aeronautics Ltd.,Capital Goods,Equity,5.2%
6,Power Grid Corporation Of India Ltd.,Energy,Equity,4.3%
7,Axis Bank Ltd.,Financial,Equity,3.9%
8,Radico Khaitan Ltd.,Consumer Staples,Equity,3.4%
9,Grasim Industries Ltd.,Construction,Equity,3.2%
10,HCL Technologies Ltd.,Technology,Equity,3.0%
11,Coal India Ltd.,Energy,Equity,2.7%
12,NTPC Ltd.,Energy,Equity,2.6%
13,Hero Motocorp Ltd.,Automobile,Equity,2.5%
14,ACC Ltd.,Construction,Equity,2.3%
15,Bajaj Auto Ltd.,Automobile,Equity,2.2%
16,Mahindra & Mahindra Ltd.,Automobile,Equity,2.1%
17,Greenpanel Industries Ltd.,Consumer Staples,Equity,2.0%
18,Tech Mahindra Ltd.,Technology,Equity,2.0%
19,Escorts Kubota Ltd.,Automobile,Equity,1.9%
20,UTI Asset Management Company Ltd.,Financial,Equity,1.8%
21,Oracle Financial Services Software Ltd.,Technology,Equity,1.7%
22,PNB Housing Finance Ltd.,Financial,Equity,1.6%
23,Sun TV Network Ltd.,Services,Equity,1.4%
24,The Federal Bank Ltd.,Financial,Equity,1.3%
25,Adani Ports and Special Economic Zone Ltd.,Services,Equity,1.3%
26,Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.1%
27,Oil & Natural Gas Corporation Ltd.,Energy,Equity,1.1%
28,Jubilant FoodWorks Ltd.,Services,Equity,1.0%
29,IDFC Ltd.,Financial,Equity,1.0%
30,IDFC First Bank Ltd.,Financial,Equity,1.0%
31,Engineers India Ltd.,Construction,Equity,0.8%
32,DCM Shriram Ltd.,Diversified,Equity,0.8%
33,Finolex Cables Ltd.,Capital Goods,Equity,0.6%
34,Paradeep Phosphates Ltd.,Chemicals,Equity,0.5%
35,Tata Consultancy Services Ltd.,Technology,Equity,0.3%
