,Name,Sector,Instrument,Assets
0,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,18.0%
1,Cipla Ltd.,Healthcare,Equity,11.0%
2,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,7.6%
3,Alkem Laboratories Ltd.,Healthcare,Equity,7.1%
4,Lupin Ltd.,Healthcare,Equity,6.8%
5,Ipca Laboratories Ltd.,Healthcare,Equity,5.2%
6,Divi's Laboratories Ltd.,Healthcare,Equity,4.7%
7,Fortis Healthcare Ltd.,Healthcare,Equity,4.5%
8,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,3.1%
9,Healthcare Global Enterprises Ltd.,Healthcare,Equity,2.9%
10,Aurobindo Pharma Ltd.,Healthcare,Equity,2.7%
11,FDC Ltd.,Healthcare,Equity,2.4%
12,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,2.1%
13,Zydus Lifesciences Ltd.,Healthcare,Equity,1.9%
14,Indoco Remedies Ltd.,Healthcare,Equity,1.8%
15,Gland Pharma Ltd.,Healthcare,Equity,1.7%
16,Glenmark Pharmaceuticals Ltd.,Healthcare,Equity,1.6%
17,Aster DM Healthcare Ltd.,Healthcare,Equity,1.5%
18,Procter & Gamble Health Ltd.,Healthcare,Equity,1.5%
19,Ajanta Pharma Ltd.,Healthcare,Equity,1.4%
20,Abbott India Ltd.,Healthcare,Equity,1.2%
21,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.1%
22,Medplus Health Services Ltd.,Healthcare,Equity,1.0%
23,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Equity,0.8%
24,Sanofi India Ltd.,Healthcare,Equity,0.6%
25,Syngene International Ltd.,Healthcare,Equity,0.6%
