,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,6.8%
1,ICICI Bank Ltd.,Financial,Equity,6.6%
2,Infosys Ltd.,Technology,Equity,5.4%
3,Reliance Industries Ltd.,Energy,Equity,5.1%
4,Housing Development Finance Corporation Ltd.,Financial,Equity,4.9%
5,State Bank of India,Financial,Equity,4.3%
6,Axis Bank Ltd.,Financial,Equity,4.1%
7,Bharti Airtel Ltd.,Communication,Equity,2.8%
8,Larsen & Toubro Ltd.,Construction,Equity,2.7%
9,Radico Khaitan Ltd.,Consumer Staples,Equity,2.5%
10,PVR Ltd.,Services,Equity,2.2%
11,Craftsman Automation Ltd.,Automobile,Equity,2.2%
12,The Federal Bank Ltd.,Financial,Equity,2.2%
13,NTPC Ltd.,Energy,Equity,2.0%
14,SBI Life Insurance Company Ltd.,Insurance,Equity,1.9%
15,HCL Technologies Ltd.,Technology,Equity,1.8%
16,Ultratech Cement Ltd.,Construction,Equity,1.7%
17,Samvardhana Motherson International Ltd.,Automobile,Equity,1.6%
18,Supreme Industries Ltd.,Chemicals,Equity,1.6%
19,Cummins India Ltd.,Capital Goods,Equity,1.6%
20,UNO Minda Ltd.,Automobile,Equity,1.6%
21,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.5%
22,Kei Industries Ltd.,Capital Goods,Equity,1.5%
23,Polycab India Ltd.,Capital Goods,Equity,1.5%
24,Kajaria Ceramics Ltd.,Construction,Equity,1.4%
25,Voltas Ltd.,Consumer Discretionary,Equity,1.3%
26,Brigade Enterprises Ltd.,Construction,Equity,1.3%
27,Barbeque-Nation Hospitality Ltd.,Services,Equity,1.3%
28,SBI Cards And Payment Services Ltd.,Financial,Equity,1.3%
29,Ambuja Cements Ltd.,Construction,Equity,1.2%
30,Hindalco Industries Ltd.,Metals & Mining,Equity,1.2%
31,Gland Pharma Ltd.,Healthcare,Equity,1.2%
32,Cipla Ltd.,Healthcare,Equity,1.2%
33,Cyient Ltd.,Technology,Equity,1.1%
34,UTI Asset Management Company Ltd.,Financial,Equity,1.1%
35,Tata Motors Ltd.,Automobile,Equity,1.0%
36,City Union Bank Ltd.,Financial,Equity,1.0%
37,Bharat Electronics Ltd.,Capital Goods,Equity,1.0%
38,PI Industries Ltd.,Chemicals,Equity,1.0%
39,V-Mart Retail Ltd.,Services,Equity,1.0%
40,Eris Lifesciences Ltd.,Healthcare,Equity,1.0%
41,AIA Engineering Ltd.,Metals & Mining,Equity,0.9%
42,Tech Mahindra Ltd.,Technology,Equity,0.9%
43,Ashok Leyland Ltd.,Automobile,Equity,0.9%
44,Graphite India Ltd.,Construction,Equity,0.9%
45,KNR Constructions Ltd.,Construction,Equity,0.8%
46,Gujarat State Petronet Ltd.,Energy,Equity,0.8%
47,Bajaj Finserv Ltd.,Financial,Equity,0.8%
48,Syrma SGS Technology Ltd.,Capital Goods,Equity,0.7%
49,Bajaj Finance Ltd.,Financial,Equity,0.6%
50,Ipca Laboratories Ltd.,Healthcare,Equity,0.6%
51,K.P.R. Mill Ltd.,Textiles,Equity,0.4%
52,Welspun India Ltd.,Textiles,Equity,0.3%
53,Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.1%
