,Name,Sector,Instrument,Assets
0,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,10.3%
1,NTPC Ltd.,Energy,Equity,9.8%
2,Kotak Mahindra Bank Ltd.,Financial,Equity,8.8%
3,SBI Cards And Payment Services Ltd.,Financial,Equity,8.6%
4,Havells India Ltd.,Capital Goods,Equity,8.4%
5,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,7.6%
6,United Breweries Ltd.,Consumer Staples,Equity,5.8%
7,Alkem Laboratories Ltd.,Healthcare,Equity,4.4%
8,Torrent Power Ltd.,Energy,Equity,3.9%
9,Indian Railway Catering And Tourism Corporation Ltd.,Services,Equity,3.9%
10,Whirlpool Of India Ltd.,Consumer Discretionary,Equity,3.1%
11,Oberoi Realty Ltd.,Construction,Equity,3.1%
12,Laurus Labs Ltd.,Healthcare,Equity,3.0%
13,Aditya Birla Fashion and Retail Ltd.,Services,Equity,3.0%
14,ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,2.9%
15,Bata India Ltd.,Consumer Staples,Equity,2.1%
16,Power Grid Corporation Of India Ltd.,Energy,Equity,2.1%
17,Vodafone Idea Ltd.,Communication,Equity,1.8%
18,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Equity,1.2%
19,Ipca Laboratories Ltd.,Healthcare,Equity,1.2%
20,Ashok Leyland Ltd.,Automobile,Equity,0.9%
21,UNO Minda Ltd.,Automobile,Equity,0.8%
22,Zee Entertainment Enterprises Ltd.,Services,Equity,0.7%
23,Tata Power Company Ltd.,Energy,Equity,0.6%
24,Indian Oil Corporation Ltd.,Energy,Equity,0.5%
25,Relaxo Footwears Ltd.,Consumer Staples,Equity,0.4%
26,DLF Ltd.,Construction,Equity,0.3%
27,Pfizer Ltd.,Healthcare,Equity,0.1%
28,Coforge Ltd.,Technology,Equity,0.1%
