,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,20.0%
1,ICICI Bank Ltd.,Financial,Equity,16.6%
2,State Bank of India,Financial,Equity,9.9%
3,Kotak Mahindra Bank Ltd.,Financial,Equity,9.8%
4,Axis Bank Ltd.,Financial,Equity,7.8%
5,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,5.4%
6,Punjab National Bank,Financial,Equity,5.3%
7,Motilal Oswal Financial Services Ltd.,Financial,Equity,4.2%
8,Bajaj Holdings & Investment Ltd.,Financial,Equity,4.0%
9,Indusind Bank Ltd.,Financial,Equity,3.9%
10,DCB Bank Ltd.,Financial,Equity,3.1%
11,The Federal Bank Ltd.,Financial,Equity,2.7%
12,Bajaj Finance Ltd.,Financial,Equity,2.3%
13,Nippon Life India Asset Management Ltd.,Financial,Equity,1.8%
14,LIC Housing Finance Ltd.,Financial,Equity,1.5%
15,IIFL Finance Ltd.,Financial,Equity,1.4%
