,Name,Sector,Instrument,Assets
0,Ami Organics Ltd.,Healthcare,Equity,6.4%
1,Century Textiles & Industries Ltd.,Consumer Staples,Equity,5.0%
2,Sterlite Technologies Ltd.,Communication,Equity,4.1%
3,Mayur Uniquoters Ltd.,Textiles,Equity,4.1%
4,Aditya Birla Fashion and Retail Ltd.,Services,Equity,4.0%
5,Caplin Point Laboratories Ltd.,Healthcare,Equity,3.8%
6,Hindware Home Innovation Ltd.,Construction,Equity,3.7%
7,K.P.R. Mill Ltd.,Textiles,Equity,3.5%
8,The Federal Bank Ltd.,Financial,Equity,3.5%
9,Dalmia Bharat Ltd.,Construction,Equity,3.3%
10,Sun TV Network Ltd.,Services,Equity,3.2%
11,Linde India Ltd.,Chemicals,Equity,3.1%
12,Sumitomo Chemical India Ltd.,Chemicals,Equity,3.0%
13,REC Ltd.,Financial,Equity,3.0%
14,Astral Ltd.,Chemicals,Equity,2.8%
15,Hindustan Oil Exploration Company Ltd.,Energy,Equity,2.8%
16,Coforge Ltd.,Technology,Equity,2.8%
17,Balkrishna Industries Ltd.,Automobile,Equity,2.7%
18,Punjab National Bank,Financial,Equity,2.6%
19,Bharat Heavy Electricals Ltd.,Capital Goods,Equity,2.6%
20,The Indian Hotels Company Ltd.,Services,Equity,2.5%
21,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,2.4%
22,Bharat Forge Ltd.,Automobile,Equity,2.3%
23,Kansai Nerolac Paints Ltd.,Chemicals,Equity,2.1%
24,Persistent Systems Ltd.,Technology,Equity,2.1%
25,Sundaram Finance Ltd.,Financial,Equity,2.1%
26,Cummins India Ltd.,Capital Goods,Equity,1.8%
27,Relaxo Footwears Ltd.,Consumer Staples,Equity,1.8%
28,Welspun Corp Ltd.,Metals & Mining,Equity,1.7%
29,Endurance Technologies Ltd.,Automobile,Equity,1.7%
30,Schaeffler India Ltd.,Capital Goods,Equity,1.5%
31,Max Financial Services Ltd.,Financial,Equity,1.4%
32,Thermax Ltd.,Capital Goods,Equity,1.4%
33,Kajaria Ceramics Ltd.,Construction,Equity,1.4%
34,Jubilant FoodWorks Ltd.,Services,Equity,1.2%
35,LIC Housing Finance Ltd.,Financial,Equity,1.0%
36,Voltas Ltd.,Consumer Discretionary,Equity,0.5%
37,TVS Motor Company Ltd.,Automobile,Equity,0.4%
