,Name,Sector,Instrument,Assets
0,Larsen & Toubro Ltd.,Construction,Equity,7.3%
1,Reliance Industries Ltd.,Energy,Equity,5.0%
2,Axis Bank Ltd.,Financial,Equity,4.9%
3,NTPC Ltd.,Energy,Equity,4.7%
4,Siemens Ltd.,Capital Goods,Equity,4.2%
5,Apollo Pipes Ltd.,Chemicals,Equity,3.8%
6,The Federal Bank Ltd.,Financial,Equity,3.4%
7,Atul Auto Ltd.,Automobile,Equity,3.4%
8,DLF Ltd.,Construction,Equity,3.3%
9,Sundram Fasteners Ltd.,Capital Goods,Equity,3.3%
10,Hindalco Industries Ltd.,Metals & Mining,Equity,3.2%
11,Polycab India Ltd.,Capital Goods,Equity,3.0%
12,Bharat Forge Ltd.,Automobile,Equity,2.9%
13,Power Finance Corporation Ltd.,Financial,Equity,2.9%
14,SRF Ltd.,Diversified,Equity,2.7%
15,NCC Ltd.,Construction,Equity,2.6%
16,Mahindra & Mahindra Ltd.,Automobile,Equity,2.6%
17,Cummins India Ltd.,Capital Goods,Equity,2.6%
18,Ambuja Cements Ltd.,Construction,Equity,2.5%
19,Eicher Motors Ltd.,Automobile,Equity,2.5%
20,Indusind Bank Ltd.,Financial,Equity,2.5%
21,Ultratech Cement Ltd.,Construction,Equity,2.4%
22,IRB Infrastructure Developers Ltd.,Construction,Equity,2.3%
23,Blue Star Ltd.,Consumer Discretionary,Equity,2.3%
24,Cera Sanitaryware Ltd.,Construction,Equity,2.2%
25,Prestige Estates Projects Ltd.,Construction,Equity,2.1%
26,Praj Industries Ltd.,Capital Goods,Equity,2.0%
27,Hindware Home Innovation Ltd.,Construction,Equity,1.7%
28,Maruti Suzuki India Ltd.,Automobile,Equity,1.6%
29,Apollo Tyres Ltd.,Automobile,Equity,1.6%
30,Bharti Airtel Ltd.,Communication,Equity,1.5%
31,Aditya Birla Capital Ltd.,Financial,Equity,1.5%
32,Berger Paints India Ltd.,Chemicals,Equity,1.1%
33,Sterlite Technologies Ltd.,Communication,Equity,1.1%
34,Shipping Corporation Of India Ltd.,Services,Equity,0.7%
35,Tata Steel Ltd.,Metals & Mining,Equity,0.4%
36,Astral Ltd.,Chemicals,Equity,0.4%
37,Shipping Corporation Of India Land And Assets Ltd.,Construction,Equity,0.2%
