,Name,Sector,Instrument,Assets
0,Siemens Ltd.,Capital Goods,Equity,6.0%
1,Havells India Ltd.,Capital Goods,Equity,5.5%
2,ICICI Bank Ltd.,Financial,Equity,5.5%
3,SRF Ltd.,Diversified,Equity,5.4%
4,Pidilite Industries Ltd.,Chemicals,Equity,5.3%
5,Adani Ports and Special Economic Zone Ltd.,Services,Equity,5.2%
6,Vedanta Ltd.,Metals & Mining,Equity,5.1%
7,DLF Ltd.,Construction,Equity,4.9%
8,Kotak Mahindra Bank Ltd.,Financial,Equity,4.8%
9,UPL Ltd.,Chemicals,Equity,4.4%
10,Mahindra & Mahindra Ltd.,Automobile,Equity,4.2%
11,Macrotech Developers Ltd.,Construction,Equity,3.9%
12,Eicher Motors Ltd.,Automobile,Equity,3.3%
13,Titan Company Ltd.,Consumer Discretionary,Equity,3.0%
14,Hindalco Industries Ltd.,Metals & Mining,Equity,3.0%
15,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,2.9%
16,Indusind Bank Ltd.,Financial,Equity,2.3%
17,Blue Star Ltd.,Consumer Discretionary,Equity,2.2%
18,Axis Bank Ltd.,Financial,Equity,2.0%
19,Prestige Estates Projects Ltd.,Construction,Equity,2.0%
20,Reliance Industries Ltd.,Energy,Equity,1.9%
21,Atul Auto Ltd.,Automobile,Equity,1.7%
22,Hindustan Unilever Ltd.,Consumer Staples,Equity,1.6%
23,Kajaria Ceramics Ltd.,Construction,Equity,1.6%
24,Astral Ltd.,Chemicals,Equity,1.6%
25,Ambuja Cements Ltd.,Construction,Equity,1.5%
26,Adani Enterprises Ltd.,Services,Equity,1.3%
27,ACC Ltd.,Construction,Equity,1.3%
28,Infosys Ltd.,Technology,Equity,0.9%
29,Jubilant Ingrevia Ltd.,Chemicals,Equity,0.7%
30,Hero Motocorp Ltd.,Automobile,Equity,0.4%
