,Name,Sector,Instrument,Assets
0,ICICI Bank Ltd.,Financial,Equity,6.9%
1,HDFC Bank Ltd.,Financial,Equity,5.2%
2,State Bank of India,Financial,Equity,4.7%
3,HCL Technologies Ltd.,Technology,Equity,3.9%
4,NTPC Ltd.,Energy,Equity,3.7%
5,Grasim Industries Ltd.,Construction,Equity,3.5%
6,Tech Mahindra Ltd.,Technology,Equity,3.1%
7,ITC Ltd.,Consumer Staples,Equity,3.0%
8,Axis Bank Ltd.,Financial,Equity,2.9%
9,Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.7%
10,GAIL (India) Ltd.,Energy,Equity,2.6%
11,Kirloskar Oil Engines Ltd.,Capital Goods,Equity,2.4%
12,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,2.3%
13,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,2.3%
14,Indusind Bank Ltd.,Financial,Equity,2.1%
15,Housing Development Finance Corporation Ltd.,Financial,Equity,2.1%
16,Cipla Ltd.,Healthcare,Equity,2.0%
17,Bharat Electronics Ltd.,Capital Goods,Equity,2.0%
18,ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,2.0%
19,Nuvoco Vistas Corporation Ltd.,Construction,Equity,1.9%
20,Bharti Airtel Ltd.,Communication,Equity,1.8%
21,Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.8%
22,Emami Ltd.,Consumer Staples,Equity,1.8%
23,Gujarat State Petronet Ltd.,Energy,Equity,1.8%
24,Power Grid Corporation Of India Ltd.,Energy,Equity,1.8%
25,Metropolis Healthcare Ltd.,Healthcare,Equity,1.7%
26,Indian Oil Corporation Ltd.,Energy,Equity,1.7%
27,Coal India Ltd.,Energy,Equity,1.7%
28,Castrol India Ltd.,Energy,Equity,1.6%
29,Akzo Nobel India Ltd.,Chemicals,Equity,1.3%
30,TeamLease Services Ltd.,Services,Equity,1.3%
31,Century Textiles & Industries Ltd.,Consumer Staples,Equity,1.2%
32,Exide Industries Ltd.,Capital Goods,Equity,1.2%
33,Hindalco Industries Ltd.,Metals & Mining,Equity,1.0%
34,Zee Entertainment Enterprises Ltd.,Services,Equity,1.0%
35,Restaurant Brands Asia Ltd.,Services,Equity,1.0%
36,Delhivery Ltd.,Services,Equity,1.0%
37,Jubilant FoodWorks Ltd.,Services,Equity,1.0%
38,Bharat Petroleum Corporation Ltd.,Energy,Equity,1.0%
39,Aditya Birla Fashion and Retail Ltd.,Services,Equity,1.0%
40,ACC Ltd.,Construction,Equity,0.9%
41,Tata Chemicals Ltd.,Chemicals,Equity,0.9%
42,Lupin Ltd.,Healthcare,Equity,0.9%
43,United Spirits Ltd.,Consumer Staples,Equity,0.8%
44,Cognizant Technology Solutions Corp.,Technology,Forgn. Eq,0.8%
45,Vardhman Textiles Ltd.,Textiles,Equity,0.8%
46,City Union Bank Ltd.,Financial,Equity,0.7%
47,Rallis India Ltd.,Chemicals,Equity,0.6%
