,Name,Sector,Instrument,Assets
0,Infosys Ltd.,Technology,Equity,7.7%
1,ITC Ltd.,Consumer Staples,Equity,6.7%
2,NTPC Ltd.,Energy,Equity,5.4%
3,Tech Mahindra Ltd.,Technology,Equity,5.4%
4,Tata Steel Ltd.,Metals & Mining,Equity,4.1%
5,Hindustan Unilever Ltd.,Consumer Staples,Equity,3.9%
6,Mphasis Ltd.,Technology,Equity,3.9%
7,Marico Ltd.,Consumer Staples,Equity,3.7%
8,Tata Consultancy Services Ltd.,Technology,Equity,3.5%
9,ICICI Bank Ltd.,Financial,Equity,3.2%
10,LTIMindtree Ltd.,Technology,Equity,3.1%
11,Bharat Petroleum Corporation Ltd.,Energy,Equity,2.6%
12,GAIL (India) Ltd.,Energy,Equity,2.5%
13,Bajaj Auto Ltd.,Automobile,Equity,2.3%
14,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,2.3%
15,Bharat Electronics Ltd.,Capital Goods,Equity,2.2%
16,Hindustan Petroleum Corporation Ltd.,Energy,Equity,2.2%
17,Cummins India Ltd.,Capital Goods,Equity,2.1%
18,Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.0%
19,Housing Development Finance Corporation Ltd.,Financial,Equity,1.9%
20,The Great Eastern Shipping Company Ltd.,Services,Equity,1.9%
21,Coromandel International Ltd.,Chemicals,Equity,1.8%
22,Procter & Gamble Hygiene and Health Care Ltd.,Consumer Staples,Equity,1.5%
23,Computer Age Management Services Ltd.,Services,Equity,1.4%
24,Sanofi India Ltd.,Healthcare,Equity,1.4%
25,Hero Motocorp Ltd.,Automobile,Equity,1.4%
26,Mahanagar Gas Ltd.,Energy,Equity,1.3%
27,State Bank of India,Financial,Equity,1.3%
28,ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,1.3%
29,ICICI Securities Ltd.,Financial,Equity,1.2%
30,Samvardhana Motherson International Ltd.,Automobile,Equity,1.2%
31,Indian Energy Exchange Ltd.,Services,Equity,1.1%
32,Ajanta Pharma Ltd.,Healthcare,Equity,1.0%
33,Jyothy Labs Ltd.,Consumer Staples,Equity,1.0%
34,CESC Ltd.,Energy,Equity,1.0%
35,LIC Housing Finance Ltd.,Financial,Equity,0.9%
36,Oil India Ltd.,Energy,Equity,0.9%
37,Akzo Nobel India Ltd.,Chemicals,Equity,0.9%
38,Eris Lifesciences Ltd.,Healthcare,Equity,0.8%
39,Container Corporation Of India Ltd.,Services,Equity,0.7%
40,HDFC Bank Ltd.,Financial,Equity,0.7%
41,Indus Towers Ltd.,Communication,Equity,0.7%
42,Bajaj Consumer Care Ltd.,Consumer Staples,Equity,0.6%
43,Firstsource Solutions Ltd.,Services,Equity,0.5%
44,Avanti Feeds Ltd.,Consumer Staples,Equity,0.5%
45,MOIL Ltd.,Metals & Mining,Equity,0.5%
46,Suven Pharmaceuticals Ltd.,Healthcare,Equity,0.4%
47,Aditya Birla Sun Life AMC Ltd.,Financial,Equity,0.3%
48,Thyrocare Technologies Ltd.,Healthcare,Equity,0.3%
49,Reserve Bank of India,Financial,T-Bills,0.2%
