,Name,Sector,Instrument,Assets
0,Infosys Ltd.,Technology,Equity,8.2%
1,ICICI Bank Ltd.,Financial,Equity,6.9%
2,Bharti Airtel Ltd.,Communication,Equity,6.8%
3,Cipla Ltd.,Healthcare,Equity,5.0%
4,Axis Bank Ltd.,Financial,Equity,4.8%
5,Eicher Motors Ltd.,Automobile,Equity,4.1%
6,ITC Ltd.,FMCG,Equity,3.9%
7,Crompton Greaves Consumer Electricals Ltd.,Cons Durable,Equity,3.8%
8,Sun Pharmaceutical Inds. Ltd.,Healthcare,Equity,2.9%
9,Ipca Laboratories Ltd.,Healthcare,Equity,2.5%
10,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,2.3%
11,Aditya Birla Fashion and Retail Ltd.,Services,Equity,2.0%
12,National Thermal Power Corp. Ltd.,Energy,Equity,1.8%
13,Motherson Sumi Systems Ltd.,Automobile,Equity,1.6%
14,Gujarat Gas Ltd.,Chemicals,Equity,1.6%
15,ICICI Prudential Life Insurance Company Ltd.,Financial,Equity,1.5%
16,Multi Commodity Exchange India,Financial,Equity,1.2%
17,Emami Ltd.,FMCG,Equity,1.0%
18,Nippon Life India Asset Management Ltd.,Financial,Equity,0.7%
19,MRF Ltd.,Automobile,Equity,0.6%
20,Coromandel International Ltd.,Chemicals,Equity,0.5%
21,PI Industries Ltd.,Chemicals,Equity,0.5%
