,Name,Sector,Instrument,Assets
0,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,13.5%
1,Cipla Ltd.,Healthcare,Equity,7.7%
2,Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,7.3%
3,Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,6.6%
4,Ajanta Pharma Ltd.,Healthcare,Equity,4.5%
5,Aurobindo Pharma Ltd.,Healthcare,Equity,4.4%
6,Fortis Healthcare Ltd.,Healthcare,Equity,4.4%
7,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,3.9%
8,Zydus Lifesciences Ltd.,Healthcare,Equity,3.9%
9,Ipca Laboratories Ltd.,Healthcare,Equity,3.7%
10,Divi's Laboratories Ltd.,Healthcare,Equity,3.2%
11,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,3.2%
12,Eris Lifesciences Ltd.,Healthcare,Equity,3.2%
13,Suven Pharmaceuticals Ltd.,Healthcare,Equity,3.2%
14,Gland Pharma Ltd.,Healthcare,Equity,2.6%
15,Alkem Laboratories Ltd.,Healthcare,Equity,2.2%
16,Abbott India Ltd.,Healthcare,Equity,2.0%
17,Metropolis Healthcare Ltd.,Healthcare,Equity,1.9%
18,Poly Medicure Ltd.,Healthcare,Equity,1.9%
19,Procter & Gamble Health Ltd.,Healthcare,Equity,1.8%
20,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.8%
21,Ami Organics Ltd.,Healthcare,Equity,1.5%
22,Syngene International Ltd.,Healthcare,Equity,1.3%
23,Rainbow Children's Medicare Ltd.,Healthcare,Equity,1.3%
24,Sanofi India Ltd.,Healthcare,Equity,1.1%
25,Indoco Remedies Ltd.,Healthcare,Equity,1.1%
26,Alembic Pharmaceuticals Ltd.,Healthcare,Equity,0.9%
27,Biocon Ltd.,Healthcare,Equity,0.9%
28,Lupin Ltd.,Healthcare,Equity,0.8%
29,Windlas Biotech Ltd.,Healthcare,Equity,0.7%
30,Pfizer Ltd.,Healthcare,Equity,0.7%
31,Sequent Scientific Ltd.,Healthcare,Equity,0.7%
32,Reserve Bank of India,Financial,T-Bills,0.2%
