,Name,Sector,Instrument,Assets
0,Maruti Suzuki India Ltd.,Automobile,Equity,8.0%
1,Bharti Airtel Ltd.,Communication,Equity,7.1%
2,ITC Ltd.,Consumer Staples,Equity,5.4%
3,Titan Company Ltd.,Consumer Discretionary,Equity,5.2%
4,Asian Paints Ltd.,Chemicals,Equity,5.1%
5,Godrej Consumer Products Ltd.,Consumer Staples,Equity,4.9%
6,Nestle India Ltd.,Consumer Staples,Equity,4.8%
7,Hindustan Unilever Ltd.,Consumer Staples,Equity,4.1%
8,Eicher Motors Ltd.,Automobile,Equity,3.7%
9,Avenue Supermarts Ltd.,Services,Equity,3.7%
10,United Breweries Ltd.,Consumer Staples,Equity,3.1%
11,Metro Brands Ltd.,Consumer Staples,Equity,2.9%
12,Trent Ltd.,Services,Equity,2.8%
13,Dabur India Ltd.,Consumer Staples,Equity,2.8%
14,Tata Motors Ltd.,Automobile,Equity,2.8%
15,ICICI Bank Ltd.,Financial,Equity,2.6%
16,HDFC Bank Ltd.,Financial,Equity,2.4%
17,Havells India Ltd.,Capital Goods,Equity,2.4%
18,Jubilant FoodWorks Ltd.,Services,Equity,2.2%
19,Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,2.2%
20,The Phoenix Mills Ltd.,Construction,Equity,2.1%
21,Marico Ltd.,Consumer Staples,Equity,2.0%
22,Bajaj Finance Ltd.,Financial,Equity,1.9%
23,Page Industries Ltd.,Textiles,Equity,1.9%
24,Astral Ltd.,Chemicals,Equity,1.6%
25,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.5%
26,PB Fintech Ltd.,Services,Equity,1.5%
27,Aditya Birla Fashion and Retail Ltd.,Services,Equity,1.4%
28,Vedant Fashions Ltd.,Services,Equity,1.2%
29,Whirlpool Of India Ltd.,Consumer Discretionary,Equity,1.2%
30,FSN E-Commerce Ventures Ltd.,Services,Equity,1.0%
31,Metropolis Healthcare Ltd.,Healthcare,Equity,0.9%
32,Barbeque-Nation Hospitality Ltd.,Services,Equity,0.8%
33,Zomato Ltd.,Services,Equity,0.8%
34,Sheela Foam Ltd.,Consumer Discretionary,Equity,0.6%
35,Reserve Bank of India,Financial,T-Bills,0.1%
