,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,6.1%
1,ICICI Bank Ltd.,Financial,Equity,6.0%
2,Reliance Industries Ltd.,Energy,Equity,4.1%
3,State Bank of India,Financial,Equity,3.3%
4,Infosys Ltd.,Technology,Equity,3.0%
5,Axis Bank Ltd.,Financial,Equity,2.3%
6,Larsen & Toubro Ltd.,Construction,Equity,2.2%
7,Max Healthcare Institute Ltd.,Healthcare,Equity,2.0%
8,Bharti Airtel Ltd.,Communication,Equity,2.0%
9,Varun Beverages Ltd.,Consumer Staples,Equity,1.8%
10,PI Industries Ltd.,Chemicals,Equity,1.8%
11,Tube Investments Of India Ltd.,Automobile,Equity,1.8%
12,Kotak Mahindra Bank Ltd.,Financial,Equity,1.7%
13,Polycab India Ltd.,Capital Goods,Equity,1.6%
14,Schaeffler India Ltd.,Capital Goods,Equity,1.6%
15,Syngene International Ltd.,Healthcare,Equity,1.5%
16,Mahindra & Mahindra Ltd.,Automobile,Equity,1.5%
17,Ultratech Cement Ltd.,Construction,Equity,1.5%
18,Interglobe Aviation Ltd.,Services,Equity,1.5%
19,Navin Fluorine International Ltd.,Chemicals,Equity,1.5%
20,Bajaj Finance Ltd.,Financial,Equity,1.4%
21,Escorts Kubota Ltd.,Automobile,Equity,1.4%
22,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.4%
23,Devyani International Ltd.,Services,Equity,1.4%
24,Persistent Systems Ltd.,Technology,Equity,1.4%
25,Star Health and Allied Insurance Company Ltd.,Insurance,Equity,1.3%
26,L&T Technology Services Ltd.,Technology,Equity,1.3%
27,Sumitomo Chemical India Ltd.,Chemicals,Equity,1.3%
28,Indiamart Intermesh Ltd.,Services,Equity,1.3%
29,Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.3%
30,UNO Minda Ltd.,Automobile,Equity,1.3%
31,Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.3%
32,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.2%
33,Carborundum Universal Ltd.,Metals & Mining,Equity,1.2%
34,Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.2%
35,TVS Motor Company Ltd.,Automobile,Equity,1.1%
36,CreditAccess Grameen Ltd.,Financial,Equity,1.1%
37,SBI Life Insurance Company Ltd.,Insurance,Equity,1.1%
38,Nestle India Ltd.,Consumer Staples,Equity,1.0%
39,Tata Consultancy Services Ltd.,Technology,Equity,1.0%
40,Aavas Financiers Ltd.,Financial,Equity,1.0%
41,Abbott India Ltd.,Healthcare,Equity,1.0%
42,The Phoenix Mills Ltd.,Construction,Equity,1.0%
43,CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,1.0%
44,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.0%
45,Maruti Suzuki India Ltd.,Automobile,Equity,1.0%
46,Prestige Estates Projects Ltd.,Construction,Equity,1.0%
47,Vinati Organics Ltd.,Chemicals,Equity,0.9%
48,Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,0.9%
49,Coromandel International Ltd.,Chemicals,Equity,0.9%
50,Vedant Fashions Ltd.,Services,Equity,0.9%
51,LTIMindtree Ltd.,Technology,Equity,0.9%
52,ABB India Ltd.,Capital Goods,Equity,0.8%
53,Coforge Ltd.,Technology,Equity,0.8%
54,Gujarat Gas Ltd.,Energy,Equity,0.8%
55,PB Fintech Ltd.,Services,Equity,0.8%
56,Bharat Electronics Ltd.,Capital Goods,Equity,0.8%
57,Titan Company Ltd.,Consumer Discretionary,Equity,0.7%
58,Avenue Supermarts Ltd.,Services,Equity,0.7%
59,K.P.R. Mill Ltd.,Textiles,Equity,0.7%
60,Eicher Motors Ltd.,Automobile,Equity,0.6%
61,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.6%
62,Tata Power Company Ltd.,Energy,Equity,0.6%
63,Britannia Industries Ltd.,Consumer Staples,Equity,0.6%
64,Page Industries Ltd.,Textiles,Equity,0.6%
65,Max Financial Services Ltd.,Financial,Equity,0.5%
