,Name,Sector,Instrument,Assets
0,Cera Sanitaryware Ltd.,Construction,Equity,3.1%
1,Neogen Chemicals Ltd.,Chemicals,Equity,3.1%
2,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,3.0%
3,Safari Industries (India) Ltd.,Chemicals,Equity,2.7%
4,CreditAccess Grameen Ltd.,Financial,Equity,2.7%
5,Sonata Software Ltd.,Technology,Equity,2.6%
6,ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,2.6%
7,Ami Organics Ltd.,Healthcare,Equity,2.2%
8,CE Info Systems Ltd.,Technology,Equity,2.2%
9,Eureka Forbes Ltd.,Metals & Mining,Equity,2.1%
10,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,2.1%
11,Rainbow Children's Medicare Ltd.,Healthcare,Equity,1.9%
12,Multi Commodity Exchange Of India Ltd.,Services,Equity,1.9%
13,Praj Industries Ltd.,Capital Goods,Equity,1.9%
14,Data Patterns (India) Ltd.,Capital Goods,Equity,1.9%
15,Aether Industries Ltd.,Chemicals,Equity,1.9%
16,KNR Constructions Ltd.,Construction,Equity,1.9%
17,MTAR Technologies Ltd.,Capital Goods,Equity,1.8%
18,Saregama India Ltd.,Services,Equity,1.8%
19,GMM Pfaudler Ltd.,Capital Goods,Equity,1.7%
20,Sumitomo Chemical India Ltd.,Chemicals,Equity,1.7%
21,Carborundum Universal Ltd.,Metals & Mining,Equity,1.7%
22,Schaeffler India Ltd.,Capital Goods,Equity,1.6%
23,Ethos Ltd.,Services,Equity,1.6%
24,V-Mart Retail Ltd.,Services,Equity,1.5%
25,PNC Infratech Ltd.,Construction,Equity,1.5%
26,UNO Minda Ltd.,Automobile,Equity,1.5%
27,Indiamart Intermesh Ltd.,Services,Equity,1.5%
28,Escorts Kubota Ltd.,Automobile,Equity,1.5%
29,Syrma SGS Technology Ltd.,Capital Goods,Equity,1.4%
30,360 One Wam Ltd,Financial,Equity,1.4%
31,Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.4%
32,Devyani International Ltd.,Services,Equity,1.3%
33,Westlife Foodworld Ltd.,Services,Equity,1.3%
34,PB Fintech Ltd.,Services,Equity,1.3%
35,Navin Fluorine International Ltd.,Chemicals,Equity,1.3%
36,The Phoenix Mills Ltd.,Construction,Equity,1.3%
37,Star Health and Allied Insurance Company Ltd.,Insurance,Equity,1.2%
38,Polycab India Ltd.,Capital Goods,Equity,1.2%
39,Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.2%
40,Go Fashion (India) Ltd.,Services,Equity,1.2%
41,L&T Technology Services Ltd.,Technology,Equity,1.2%
42,TVS Motor Company Ltd.,Automobile,Equity,1.1%
43,K.P.R. Mill Ltd.,Textiles,Equity,1.1%
44,Dodla Dairy Ltd,Consumer Staples,Equity,1.1%
45,Tatva Chintan Pharma Chem Ltd.,Chemicals,Equity,1.1%
46,Hitachi Energy India Ltd.,Capital Goods,Equity,1.0%
47,City Union Bank Ltd.,Financial,Equity,1.0%
48,Galaxy Surfactants Ltd.,Chemicals,Equity,1.0%
49,Happiest Minds Technologies Ltd.,Technology,Equity,1.0%
50,Home First Finance Company India Ltd.,Financial,Equity,1.0%
51,Electronics Mart India Ltd.,Services,Equity,0.9%
52,Bikaji Foods International Ltd.,Consumer Staples,Equity,0.9%
53,Prestige Estates Projects Ltd.,Construction,Equity,0.9%
54,Aavas Financiers Ltd.,Financial,Equity,0.9%
55,Persistent Systems Ltd.,Technology,Equity,0.8%
56,Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,0.8%
57,KFin Technologies Ltd.,Financial,Equity,0.8%
58,Grindwell Norton Ltd.,Metals & Mining,Equity,0.8%
59,PVR Ltd.,Services,Equity,0.7%
60,Hindustan Foods Ltd.,Consumer Staples,Equity,0.7%
61,Campus Activewear Ltd.,Consumer Staples,Equity,0.6%
62,Tasty Bite Eatables Ltd.,Consumer Staples,Equity,0.3%
63,Reserve Bank of India,Financial,T-Bills,0.1%
