,Name,Sector,Instrument,Assets
0,HDFC Bank Ltd.,Financial,Equity,7.1%
1,Infosys Ltd.,Technology,Equity,5.1%
2,ITC Ltd.,Consumer Staples,Equity,4.5%
3,NTPC Ltd.,Energy,Equity,4.3%
4,State Bank of India,Financial,Equity,4.3%
5,Reliance Industries Ltd.,Energy,Equity,4.2%
6,ICICI Bank Ltd.,Financial,Equity,4.1%
7,Larsen & Toubro Ltd.,Construction,Equity,3.0%
8,Bharti Airtel Ltd.,Communication,Equity,3.0%
9,Maruti Suzuki India Ltd.,Automobile,Equity,2.9%
10,Escorts Kubota Ltd.,Automobile,Equity,2.8%
11,Axis Bank Ltd.,Financial,Equity,2.7%
12,Coromandel International Ltd.,Chemicals,Equity,2.7%
13,SBI Life Insurance Company Ltd.,Insurance,Equity,2.4%
14,Ultratech Cement Ltd.,Construction,Equity,2.3%
15,Sonata Software Ltd.,Technology,Equity,2.3%
16,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,2.3%
17,Mahindra & Mahindra Ltd.,Automobile,Equity,2.2%
18,Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,2.1%
19,Interglobe Aviation Ltd.,Services,Equity,2.1%
20,Eureka Forbes Ltd.,Metals & Mining,Equity,2.0%
21,NIIT Ltd.,Technology,Equity,1.8%
22,Cera Sanitaryware Ltd.,Construction,Equity,1.6%
23,Housing Development Finance Corporation Ltd.,Financial,Equity,1.6%
24,Tata Consultancy Services Ltd.,Technology,Equity,1.5%
25,Bharat Electronics Ltd.,Capital Goods,Equity,1.4%
26,Gujarat Gas Ltd.,Energy,Equity,1.3%
27,Alkem Laboratories Ltd.,Healthcare,Equity,1.1%
28,Tata Steel Ltd.,Metals & Mining,Equity,1.1%
29,Multi Commodity Exchange Of India Ltd.,Services,Equity,1.0%
30,Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.0%
31,CreditAccess Grameen Ltd.,Financial,Equity,1.0%
32,Hindustan Unilever Ltd.,Consumer Staples,Equity,1.0%
33,SBI Cards And Payment Services Ltd.,Financial,Equity,1.0%
34,KNR Constructions Ltd.,Construction,Equity,1.0%
35,The Phoenix Mills Ltd.,Construction,Equity,1.0%
36,City Union Bank Ltd.,Financial,Equity,1.0%
37,Hindalco Industries Ltd.,Metals & Mining,Equity,0.9%
38,Max Financial Services Ltd.,Financial,Equity,0.9%
39,Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.9%
40,Aavas Financiers Ltd.,Financial,Equity,0.8%
41,PNC Infratech Ltd.,Construction,Equity,0.8%
42,Saregama India Ltd.,Services,Equity,0.8%
43,Life Insurance Corporation of India,Insurance,Equity,0.7%
44,Muthoot Finance Ltd.,Financial,Equity,0.7%
45,Electronics Mart India Ltd.,Services,Equity,0.7%
46,Cipla Ltd.,Healthcare,Equity,0.6%
47,Reserve Bank of India,Financial,T-Bills,0.1%
