Unnamed: 0,Name,Sector,Instrument,Assets(Rs_Cr.),funds_name
1,Housing Development Finance Corporation Ltd.,Financial,Equity,52898.876,Aditya Birla Sun Life Focused Equity Fund Direct Growth
2,Infosys Ltd.,Technology,Equity,43332.058,Aditya Birla Sun Life Focused Equity Fund Direct Growth
3,Reliance Industries Ltd.,Energy,Equity,34327.994,Aditya Birla Sun Life Focused Equity Fund Direct Growth
6,State Bank of India,Financial,Equity,24198.422,Aditya Birla Sun Life Focused Equity Fund Direct Growth
8,Ultratech Cement Ltd.,Construction,Equity,18008.128,Aditya Birla Sun Life Focused Equity Fund Direct Growth
10,Mahindra & Mahindra Ltd.,Automobile,Equity,16882.62,Aditya Birla Sun Life Focused Equity Fund Direct Growth
11,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,15757.112,Aditya Birla Sun Life Focused Equity Fund Direct Growth
12,SBI Life Insurance Company Ltd.,Insurance,Equity,15757.112,Aditya Birla Sun Life Focused Equity Fund Direct Growth
17,The Phoenix Mills Ltd.,Construction,Equity,12380.588000000002,Aditya Birla Sun Life Focused Equity Fund Direct Growth
18,NTPC Ltd.,Energy,Equity,12380.588000000002,Aditya Birla Sun Life Focused Equity Fund Direct Growth
20,Maruti Suzuki India Ltd.,Automobile,Equity,10692.326,Aditya Birla Sun Life Focused Equity Fund Direct Growth
26,Tech Mahindra Ltd.,Technology,Equity,4502.032,Aditya Birla Sun Life Focused Equity Fund Direct Growth
28,Housing Development Finance Corporation Ltd.,Financial,Warrant,3376.524,Aditya Birla Sun Life Focused Equity Fund Direct Growth
30,ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1688.262,Aditya Birla Sun Life Focused Equity Fund Direct Growth
33,Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,204811.724,ICICI Prudential Value Discovery Direct Growth
34,NTPC Ltd.,Energy,Equity,193740.82,ICICI Prudential Value Discovery Direct Growth
37,Infosys Ltd.,Technology,Equity,110709.04,ICICI Prudential Value Discovery Direct Growth
39,Reliance Industries Ltd.,Energy,Equity,83031.78,ICICI Prudential Value Discovery Direct Growth
40,HDFC Bank Ltd.,Financial,Equity,83031.78,ICICI Prudential Value Discovery Direct Growth
