Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,10.3%
HDFC Bank Ltd.,Financial,Equity,8.1%
Infosys Ltd.,Technology,Equity,5.8%
State Bank of India,Financial,Equity,5.1%
Axis Bank Ltd.,Financial,Equity,4.0%
Reliance Industries Ltd.,Energy,Equity,3.8%
Housing Development Finance Corporation Ltd.,Financial,Equity,3.7%
Tata Steel Ltd.,Metals & Mining,Equity,3.5%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,3.0%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,3.0%
Bajaj Finance Ltd.,Financial,Equity,2.9%
Bharti Airtel Ltd.,Communication,Equity,2.5%
Larsen & Toubro Ltd.,Construction,Equity,2.2%
Ultratech Cement Ltd.,Construction,Equity,2.2%
HCL Technologies Ltd.,Technology,Equity,2.0%
Kotak Mahindra Bank Ltd.,Financial,Equity,2.0%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.9%
DLF Ltd. - (DLF),Construction,Equity,1.9%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.9%
Atul Ltd.,Chemicals,Equity,1.6%
Shree Cement Ltd.,Construction,Equity,1.5%
Maruti Suzuki India Ltd.,Automobile,Equity,1.5%
Kajaria Ceramics Ltd.,Construction,Equity,1.5%
Whirlpool Of India Ltd.,Consumer Discretionary,Equity,1.4%
Britannia Industries Ltd.,Consumer Staples,Equity,1.3%
Aarti Industries Ltd.,Chemicals,Equity,1.3%
LTIMindtree Ltd.,Technology,Equity,1.2%
NMDC Ltd.,Metals & Mining,Equity,1.2%
Grasim Industries Ltd.,Construction,Equity,1.2%
United Spirits Ltd.,Consumer Staples,Equity,1.1%
Mahindra Logistics Ltd.,Services,Equity,1.1%
Bharat Forge Ltd.,Automobile,Equity,1.0%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,0.9%
Radico Khaitan Ltd.,Consumer Staples,Equity,0.9%
Bajaj Finserv Ltd.,Financial,Equity,0.9%
Heritage Foods Ltd.,Consumer Staples,Equity,0.9%
AIA Engineering Ltd.,Metals & Mining,Equity,0.9%
Emami Ltd.,Consumer Staples,Equity,0.8%
GMM Pfaudler Ltd.,Capital Goods,Equity,0.8%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.8%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.8%
Tata Power Company Ltd.,Energy,Equity,0.8%
Voltas Ltd.,Consumer Discretionary,Equity,0.8%
ITC Ltd.,Consumer Staples,Equity,0.7%
Global Health Ltd.,Healthcare,Equity,0.6%
Schaeffler India Ltd.,Capital Goods,Equity,0.6%
NMDC Steel Ltd.,Metals & Mining,Equity,0.3%
Aarti Pharmalabs Ltd.,Services,Equity,0.1%
