Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,5.5%
Infosys Ltd.,Technology,Equity,4.6%
Axis Bank Ltd.,Financial,Equity,3.4%
HDFC Bank Ltd.,Financial,Equity,3.1%
Craftsman Automation Ltd.,Automobile,Equity,2.7%
State Bank of India,Financial,Equity,2.6%
The Federal Bank Ltd.,Financial,Equity,2.3%
Bharti Airtel Ltd.,Communication,Equity,2.2%
JK Lakshmi Cement Ltd.,Construction,Equity,2.1%
VIP Industries Ltd.,Chemicals,Equity,1.9%
Larsen & Toubro Ltd.,Construction,Equity,1.9%
Fortis Healthcare Ltd.,Healthcare,Equity,1.9%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.8%
Bata India Ltd.,Consumer Staples,Equity,1.7%
Polycab India Ltd.,Capital Goods,Equity,1.7%
V-Guard Industries Ltd.,Consumer Discretionary,Equity,1.6%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.6%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.6%
Poonawalla Fincorp Ltd.,Financial,Equity,1.6%
United Breweries Ltd.,Consumer Staples,Equity,1.6%
Cummins India Ltd.,Capital Goods,Equity,1.5%
Triveni Turbine Ltd.,Capital Goods,Equity,1.5%
Ultratech Cement Ltd.,Construction,Equity,1.5%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.5%
Multi Commodity Exchange Of India Ltd.,Services,Equity,1.4%
Britannia Industries Ltd.,Consumer Staples,Equity,1.4%
Ashok Leyland Ltd.,Automobile,Equity,1.3%
Hitachi Energy India Ltd.,Capital Goods,Equity,1.3%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.3%
Aarti Industries Ltd.,Chemicals,Equity,1.2%
Coforge Ltd.,Technology,Equity,1.1%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.1%
Tata Motors Ltd.,Automobile,Equity,1.1%
Brigade Enterprises Ltd.,Construction,Equity,1.1%
Indusind Bank Ltd.,Financial,Equity,1.0%
Ahluwalia Contracts (India) Ltd.,Construction,Equity,1.0%
Indoco Remedies Ltd.,Healthcare,Equity,1.0%
ABB India Ltd.,Capital Goods,Equity,1.0%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,1.0%
Bajaj Finance Ltd.,Financial,Equity,1.0%
Bandhan Bank Ltd.,Financial,Equity,1.0%
Restaurant Brands Asia Ltd.,Services,Equity,1.0%
JK Cement Ltd.,Construction,Equity,1.0%
Anupam Rasayan India Ltd.,Chemicals,Equity,1.0%
Reliance Industries Ltd.,Energy,Equity,0.9%
Jubilant FoodWorks Ltd.,Services,Equity,0.9%
Interglobe Aviation Ltd.,Services,Equity,0.9%
LTIMindtree Ltd.,Technology,Equity,0.9%
Zydus Wellness Ltd.,Consumer Staples,Equity,0.9%
Gateway Distriparks Ltd.,Services,Equity,0.9%
SBI Cards And Payment Services Ltd.,Financial,Equity,0.9%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,0.9%
GMM Pfaudler Ltd.,Capital Goods,Equity,0.9%
Ajanta Pharma Ltd.,Healthcare,Equity,0.8%
Sanofi India Ltd.,Healthcare,Equity,0.8%
Vinati Organics Ltd.,Chemicals,Equity,0.8%
The Indian Hotels Company Ltd.,Services,Equity,0.8%
Go Fashion (India) Ltd.,Services,Equity,0.7%
Avanti Feeds Ltd.,Consumer Staples,Equity,0.7%
Mahindra Logistics Ltd.,Services,Equity,0.6%
United Spirits Ltd.,Consumer Staples,Equity,0.6%
Dreamfolks Services Ltd.,Services,Equity,0.6%
Cyient Ltd.,Technology,Equity,0.6%
Dodla Dairy Ltd,Consumer Staples,Equity,0.6%
FSN E-Commerce Ventures Ltd.,Services,Equity,0.5%
Johnson Controls - Hitachi Air Conditioning India Ltd.,Consumer Discretionary,Equity,0.5%
Kaynes Technology India Ltd.,Capital Goods,Equity,0.5%
Mold-Tek Packaging Ltd.,Chemicals,Equity,0.5%
Century Textiles & Industries Ltd.,Consumer Staples,Equity,0.4%
INOX Leisure Ltd.,Services,Equity,0.4%
Vedant Fashions Ltd.,Services,Equity,0.4%
Butterfly Gandhimathi Appliances Ltd.,Consumer Discretionary,Equity,0.4%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.4%
Global Health Ltd.,Healthcare,Equity,0.4%
Schaeffler India Ltd.,Capital Goods,Equity,0.4%
Birlasoft Ltd.,Technology,Equity,0.3%
Medplus Health Services Ltd.,Healthcare,Equity,0.3%
Blue Star Ltd.,Consumer Discretionary,Equity,0.3%
Solara Active Pharma Sciences Ltd.,Healthcare,Equity,0.2%
Emami Ltd.,Consumer Staples,Equity,0.1%
Aarti Pharmalabs Ltd.,Services,Equity,0.1%
