Name,Sector,Instrument,Assets
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,17.0%
Cipla Ltd.,Healthcare,Equity,9.6%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,9.1%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,6.8%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,5.3%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,5.0%
Fortis Healthcare Ltd.,Healthcare,Equity,5.0%
Alkem Laboratories Ltd.,Healthcare,Equity,3.5%
Indoco Remedies Ltd.,Healthcare,Equity,3.3%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,2.9%
Ajanta Pharma Ltd.,Healthcare,Equity,2.5%
Abbott India Ltd.,Healthcare,Equity,2.4%
Sanofi India Ltd.,Healthcare,Equity,2.1%
Global Health Ltd.,Healthcare,Equity,2.1%
Strides Pharma Science Ltd.,Healthcare,Equity,2.1%
Eris Lifesciences Ltd.,Healthcare,Equity,2.0%
Ipca Laboratories Ltd.,Healthcare,Equity,1.8%
Gland Pharma Ltd.,Healthcare,Equity,1.5%
Granules India Ltd.,Healthcare,Equity,1.4%
Divi's Laboratories Ltd.,Healthcare,Equity,1.3%
Medplus Health Services Ltd.,Healthcare,Equity,1.2%
Natco Pharma Ltd.,Healthcare,Equity,1.2%
Vinati Organics Ltd.,Chemicals,Equity,1.2%
Vijaya Diagnostic Centre Ltd.,Healthcare,Equity,1.1%
Alembic Pharmaceuticals Ltd.,Healthcare,Equity,1.1%
Biocon Ltd.,Healthcare,Equity,1.0%
Aurobindo Pharma Ltd.,Healthcare,Equity,1.0%
Zydus Wellness Ltd.,Consumer Staples,Equity,1.0%
Metropolis Healthcare Ltd.,Healthcare,Equity,0.7%
Solara Active Pharma Sciences Ltd.,Healthcare,Equity,0.2%
