Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,8.9%
Infosys Ltd.,Technology,Equity,5.9%
Bharti Airtel Ltd.,Communication,Equity,4.4%
HDFC Bank Ltd.,Financial,Equity,3.7%
Tata Steel Ltd.,Metals & Mining,Equity,3.5%
The Phoenix Mills Ltd.,Construction,Equity,3.1%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.9%
Kotak Mahindra Bank Ltd.,Financial,Equity,2.7%
State Bank of India,Financial,Equity,2.6%
Bajaj Finance Ltd.,Financial,Equity,2.6%
Axis Bank Ltd.,Financial,Equity,2.5%
Bajaj Finserv Ltd.,Financial,Equity,2.5%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,2.1%
Tata Power Company Ltd.,Energy,Equity,2.1%
Cummins India Ltd.,Capital Goods,Equity,2.1%
Bharat Forge Ltd.,Automobile,Equity,2.1%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,2.0%
Hindalco Industries Ltd.,Metals & Mining,Equity,2.0%
Tata Consumer Products Ltd.,Consumer Staples,Equity,1.9%
Atul Ltd.,Chemicals,Equity,1.8%
Cipla Ltd.,Healthcare,Equity,1.7%
Bajaj Electricals Ltd.,Consumer Discretionary,Equity,1.6%
Reliance Industries Ltd.,Energy,Equity,1.5%
Sun TV Network Ltd.,Services,Equity,1.5%
Fortis Healthcare Ltd.,Healthcare,Equity,1.5%
United Spirits Ltd.,Consumer Staples,Equity,1.5%
United Breweries Ltd.,Consumer Staples,Equity,1.5%
Voltas Ltd.,Consumer Discretionary,Equity,1.4%
Aarti Industries Ltd.,Chemicals,Equity,1.4%
AU Small Finance Bank Ltd.,Financial,Equity,1.3%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.3%
Shree Cement Ltd.,Construction,Equity,1.3%
JK Lakshmi Cement Ltd.,Construction,Equity,1.3%
Mphasis Ltd.,Technology,Equity,1.2%
Birlasoft Ltd.,Technology,Equity,1.2%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.2%
Container Corporation Of India Ltd.,Services,Equity,1.1%
UTI Asset Management Company Ltd.,Financial,Equity,1.1%
Grasim Industries Ltd.,Construction,Equity,1.1%
Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,1.1%
AIA Engineering Ltd.,Metals & Mining,Equity,1.0%
SBI Life Insurance Company Ltd.,Insurance,Equity,0.9%
Indusind Bank Ltd.,Financial,Equity,0.9%
Zomato Ltd.,Services,Equity,0.9%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.9%
NMDC Ltd.,Metals & Mining,Equity,0.8%
Sundram Fasteners Ltd.,Capital Goods,Equity,0.7%
Strides Pharma Science Ltd.,Healthcare,Equity,0.7%
Exide Industries Ltd.,Capital Goods,Equity,0.7%
FSN E-Commerce Ventures Ltd.,Services,Equity,0.6%
Sobha Ltd.,Construction,Equity,0.5%
Solara Active Pharma Sciences Ltd.,Healthcare,Equity,0.4%
One97 Communications Ltd.,Services,Equity,0.3%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.3%
NMDC Steel Ltd.,Metals & Mining,Equity,0.2%
Aarti Pharmalabs Ltd.,Services,Equity,0.1%
