Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,9.4%
Bajaj Finance Ltd.,Financial,Equity,8.7%
HDFC Bank Ltd.,Financial,Equity,8.7%
Avenue Supermarts Ltd.,Services,Equity,7.0%
Infosys Ltd.,Technology,Equity,6.9%
Tata Consultancy Services Ltd.,Technology,Equity,4.5%
Kotak Mahindra Bank Ltd.,Financial,Equity,4.4%
Reliance Industries Ltd.,Energy,Equity,4.4%
Larsen & Toubro Ltd.,Construction,Equity,3.0%
Mahindra & Mahindra Ltd.,Automobile,Equity,2.8%
State Bank of India,Financial,Equity,2.7%
Housing Development Finance Corporation Ltd.,Financial,Equity,2.6%
Bharti Airtel Ltd.,Communication,Equity,2.1%
Ultratech Cement Ltd.,Construction,Equity,2.0%
Bajaj Finserv Ltd.,Financial,Equity,1.9%
Pidilite Industries Ltd.,Chemicals,Equity,1.9%
Asian Paints Ltd.,Chemicals,Equity,1.8%
Titan Company Ltd.,Consumer Discretionary,Equity,1.8%
Maruti Suzuki India Ltd.,Automobile,Equity,1.7%
Nestle India Ltd.,Consumer Staples,Equity,1.5%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.5%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.5%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.0%
Info Edge (India) Ltd.,Services,Equity,1.0%
LTIMindtree Ltd.,Technology,Equity,0.7%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.6%
Divi's Laboratories Ltd.,Healthcare,Equity,0.5%
DLF Ltd. - (DLF),Construction,Equity,0.5%
Ambuja Cements Ltd.,Construction,Equity,0.4%
Tata Consumer Products Ltd.,Consumer Staples,Equity,0.4%
Siemens Ltd.,Capital Goods,Equity,0.4%
SRF Ltd.,Diversified,Equity,0.4%
Gland Pharma Ltd.,Healthcare,Equity,0.3%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.3%
Cipla Ltd.,Healthcare,Equity,0.3%
Reserve Bank of India,Financial,T-Bills,0.2%
KFin Technologies Ltd.,Financial,Equity,0.1%
Reserve Bank of India,Financial,T-Bills,0.1%
Reserve Bank of India,Financial,T-Bills,0.1%
Reserve Bank of India,Financial,T-Bills,0.1%
Reserve Bank of India,Financial,T-Bills,0.1%
