Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,9.4%
Bajaj Finance Ltd.,Financial,Equity,8.6%
Avenue Supermarts Ltd.,Services,Equity,6.8%
HDFC Bank Ltd.,Financial,Equity,6.7%
Infosys Ltd.,Technology,Equity,6.7%
Kotak Mahindra Bank Ltd.,Financial,Equity,3.4%
Tata Consultancy Services Ltd.,Technology,Equity,3.1%
Mahindra & Mahindra Ltd.,Automobile,Equity,2.9%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,2.0%
State Bank of India,Financial,Equity,1.9%
Pidilite Industries Ltd.,Chemicals,Equity,1.7%
Fine Organic Industries Ltd.,Chemicals,Equity,1.6%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.6%
Ultratech Cement Ltd.,Construction,Equity,1.5%
Brigade Enterprises Ltd.,Construction,Equity,1.5%
Housing Development Finance Corporation Ltd.,Financial,Equity,1.5%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,1.5%
Bharat Electronics Ltd.,Capital Goods,Equity,1.5%
Titan Company Ltd.,Consumer Discretionary,Equity,1.4%
Bajaj Finserv Ltd.,Financial,Equity,1.4%
Asian Paints Ltd.,Chemicals,Equity,1.4%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.3%
PI Industries Ltd.,Chemicals,Equity,1.3%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.3%
Info Edge (India) Ltd.,Services,Equity,1.1%
Nestle India Ltd.,Consumer Staples,Equity,1.0%
Trent Ltd.,Services,Equity,1.0%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.0%
Astral Ltd.,Chemicals,Equity,1.0%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.0%
Bharti Airtel Ltd.,Communication,Equity,1.0%
Galaxy Surfactants Ltd.,Chemicals,Equity,0.9%
LTIMindtree Ltd.,Technology,Equity,0.9%
Clean Science And Technology Ltd.,Chemicals,Equity,0.8%
Sansera Engineering Ltd.,Automobile,Equity,0.6%
KFin Technologies Ltd.,Financial,Equity,0.6%
Reserve Bank of India,Financial,T-Bills,0.5%
Divi's Laboratories Ltd.,Healthcare,Equity,0.5%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,0.5%
Fortis Healthcare Ltd.,Healthcare,Equity,0.5%
Rainbow Children's Medicare Ltd.,Healthcare,Equity,0.4%
Zomato Ltd.,Services,Equity,0.4%
Neogen Chemicals Ltd.,Chemicals,Equity,0.3%
CCL Products (India) Ltd.,Consumer Staples,Equity,0.3%
Ambuja Cements Ltd.,Construction,Equity,0.3%
Reliance Industries Ltd.,Energy,Equity,0.3%
Go Fashion (India) Ltd.,Services,Equity,0.3%
Gland Pharma Ltd.,Healthcare,Equity,0.3%
Rolex Rings Ltd,Capital Goods,Equity,0.2%
Tatva Chintan Pharma Chem Ltd.,Chemicals,Equity,0.2%
RHI Magnesita India Ltd.,Construction,Equity,0.2%
Vijaya Diagnostic Centre Ltd.,Healthcare,Equity,0.2%
Suryoday Small Finance Bank Ltd.,Financial,Equity,0.2%
JK Lakshmi Cement Ltd.,Construction,Equity,0.2%
Chemplast Sanmar Ltd.,Chemicals,Equity,0.2%
Vardhman Textiles Ltd.,Textiles,Equity,0.2%
Global Health Ltd.,Healthcare,Equity,0.2%
Aether Industries Ltd.,Chemicals,Equity,0.1%
Hindustan Unilever Ltd.,Consumer Staples,Equity,0.1%
