Name,Sector,Instrument,Assets
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,7.8%
Mahindra & Mahindra Ltd.,Automobile,Equity,6.8%
State Bank of India,Financial,Equity,6.8%
ICICI Bank Ltd.,Financial,Equity,6.6%
Tata Motors Ltd.,Automobile,Equity,6.4%
Gujarat State Petronet Ltd.,Energy,Equity,4.6%
Tata Communications Ltd.,Communication,Equity,4.3%
Housing Development Finance Corporation Ltd.,Financial,Equity,4.1%
Bajaj Holdings & Investment Ltd.,Financial,Equity,3.8%
Oracle Financial Services Software Ltd.,Technology,Equity,3.7%
Larsen & Toubro Ltd.,Construction,Equity,3.2%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,3.2%
Tech Mahindra Ltd.,Technology,Equity,3.0%
Bharat Electronics Ltd.,Capital Goods,Equity,2.9%
The Federal Bank Ltd.,Financial,Equity,2.7%
Infosys Ltd.,Technology,Equity,2.6%
Can Fin Homes Ltd.,Financial,Equity,2.6%
Coromandel International Ltd.,Chemicals,Equity,2.4%
City Union Bank Ltd.,Financial,Equity,2.3%
Bharti Airtel Ltd.,Communication,Equity,2.2%
Ultratech Cement Ltd.,Construction,Equity,2.2%
Minda Corporation Ltd.,Automobile,Equity,1.8%
CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,1.6%
Bajaj Finserv Ltd.,Financial,Equity,1.5%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.5%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,1.4%
Mahindra CIE Automotive Ltd.,Metals & Mining,Equity,1.3%
Bharat Petroleum Corporation Ltd.,Energy,Equity,1.3%
Suprajit Engineering Ltd.,Automobile,Equity,1.1%
Tata Power Company Ltd.,Energy,Equity,1.0%
Bandhan Bank Ltd.,Financial,Equity,0.9%
Tata Steel Ltd.,Metals & Mining,Equity,0.9%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.2%
