Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,9.7%
ICICI Bank Ltd.,Financial,Equity,7.1%
Infosys Ltd.,Technology,Equity,6.0%
State Bank of India,Financial,Equity,4.8%
Reliance Industries Ltd.,Energy,Equity,4.4%
Ultratech Cement Ltd.,Construction,Equity,3.3%
Axis Bank Ltd.,Financial,Equity,3.0%
Larsen & Toubro Ltd.,Construction,Equity,2.8%
Hindustan Unilever Ltd.,Consumer Staples,Equity,2.6%
Five-Star Business Finance Ltd.,Financial,Equity,2.5%
Indusind Bank Ltd.,Financial,Equity,2.4%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.2%
ITC Ltd.,Consumer Staples,Equity,2.2%
Bharti Airtel Ltd.,Communication,Equity,2.1%
HCL Technologies Ltd.,Technology,Equity,2.1%
Schaeffler India Ltd.,Capital Goods,Equity,1.9%
NLC India Ltd.,Energy,Equity,1.8%
Trent Ltd.,Services,Equity,1.6%
UNO Minda Ltd.,Automobile,Equity,1.6%
Ashok Leyland Ltd.,Automobile,Equity,1.6%
The Indian Hotels Company Ltd.,Services,Equity,1.6%
Siemens Ltd.,Capital Goods,Equity,1.6%
Karur Vysya Bank Ltd.,Financial,Equity,1.6%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.5%
Kei Industries Ltd.,Capital Goods,Equity,1.4%
INOX Leisure Ltd.,Services,Equity,1.4%
The Phoenix Mills Ltd.,Construction,Equity,1.4%
LIC Housing Finance Ltd.,Financial,Equity,1.4%
V-Mart Retail Ltd.,Services,Equity,1.3%
Brigade Enterprises Ltd.,Construction,Equity,1.3%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.2%
Cipla Ltd.,Healthcare,Equity,1.2%
Bajaj Finserv Ltd.,Financial,Equity,1.2%
Titan Company Ltd.,Consumer Discretionary,Equity,1.1%
Maruti Suzuki India Ltd.,Automobile,Equity,1.1%
L&T Technology Services Ltd.,Technology,Equity,1.1%
Linde India Ltd.,Chemicals,Equity,1.1%
Timken India Ltd.,Capital Goods,Equity,1.1%
Zee Entertainment Enterprises Ltd.,Services,Equity,1.1%
RBL Bank Ltd.,Financial,Equity,1.1%
NHPC Ltd.,Energy,Equity,1.0%
ACC Ltd.,Construction,Equity,1.0%
Fortis Healthcare Ltd.,Healthcare,Equity,0.8%
HDFC Life Insurance Co Ltd.,Insurance,Equity,0.8%
Sumitomo Chemical India Ltd.,Chemicals,Equity,0.8%
Coforge Ltd.,Technology,Equity,0.8%
Bosch Ltd.,Automobile,Equity,0.6%
