Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,8.2%
Infosys Ltd.,Technology,Equity,7.3%
Housing Development Finance Corporation Ltd.,Financial,Equity,6.7%
Reliance Industries Ltd.,Energy,Equity,6.0%
ICICI Bank Ltd.,Financial,Equity,3.4%
Larsen & Toubro Ltd.,Construction,Equity,3.0%
State Bank of India,Financial,Equity,2.9%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,2.6%
ACC Ltd.,Construction,Equity,2.5%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,2.5%
United Breweries Ltd.,Consumer Staples,Equity,2.5%
Indusind Bank Ltd.,Financial,Equity,2.4%
NTPC Ltd.,Energy,Equity,2.4%
Britannia Industries Ltd.,Consumer Staples,Equity,2.3%
Siemens Ltd.,Capital Goods,Equity,2.2%
Bharti Airtel Ltd.,Communication,Equity,2.2%
NLC India Ltd.,Energy,Equity,2.2%
ITC Ltd.,Consumer Staples,Equity,2.1%
The Phoenix Mills Ltd.,Construction,Equity,2.1%
United Spirits Ltd.,Consumer Staples,Equity,2.1%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,2.0%
Marico Ltd.,Consumer Staples,Equity,1.9%
Page Industries Ltd.,Textiles,Equity,1.9%
Polycab India Ltd.,Capital Goods,Equity,1.9%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.6%
Cipla Ltd.,Healthcare,Equity,1.6%
Maruti Suzuki India Ltd.,Automobile,Equity,1.5%
Blue Star Ltd.,Consumer Discretionary,Equity,1.4%
Persistent Systems Ltd.,Technology,Equity,1.4%
HCL Technologies Ltd.,Technology,Equity,1.3%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.3%
DLF Ltd. - (DLF),Construction,Equity,1.2%
Canara Bank,Financial,Equity,1.1%
INOX Leisure Ltd.,Services,Equity,1.1%
Indian Bank,Financial,Equity,1.1%
Bosch Ltd.,Automobile,Equity,1.1%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.1%
RBL Bank Ltd.,Financial,Equity,1.1%
Mahindra Lifespace Developers Ltd.,Construction,Equity,1.1%
Dalmia Bharat Ltd.,Construction,Equity,1.0%
TVS Motor Company Ltd.,Automobile,Equity,0.8%
AU Small Finance Bank Ltd.,Financial,Equity,0.5%
