Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,9.0%
ICICI Bank Ltd.,Financial,Equity,9.0%
Reliance Industries Ltd.,Energy,Equity,7.3%
Infosys Ltd.,Technology,Equity,6.9%
Larsen & Toubro Ltd.,Construction,Equity,4.5%
Housing Development Finance Corporation Ltd.,Financial,Equity,3.8%
Axis Bank Ltd.,Financial,Equity,3.6%
ITC Ltd.,Consumer Staples,Equity,2.8%
Tata Consultancy Services Ltd.,Technology,Equity,2.8%
State Bank of India,Financial,Equity,2.3%
Kotak Mahindra Bank Ltd.,Financial,Equity,2.1%
Bharti Airtel Ltd.,Communication,Equity,2.1%
HCL Technologies Ltd.,Technology,Equity,2.0%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.8%
Siemens Ltd.,Capital Goods,Equity,1.8%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.6%
Bosch Ltd.,Automobile,Equity,1.6%
Bajaj Finance Ltd.,Financial,Equity,1.5%
Maruti Suzuki India Ltd.,Automobile,Equity,1.4%
SBI Cards And Payment Services Ltd.,Financial,Equity,1.3%
Cipla Ltd.,Healthcare,Equity,1.3%
Tata Motors Ltd. - DVR Ordinary,Automobile,Equity,1.2%
Ambuja Cements Ltd.,Construction,Equity,1.2%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.2%
The Indian Hotels Company Ltd.,Services,Equity,1.1%
HDFC Life Insurance Co Ltd.,Insurance,Equity,1.1%
Ultratech Cement Ltd.,Construction,Equity,1.1%
Escorts Kubota Ltd.,Automobile,Equity,1.1%
Bharat Petroleum Corporation Ltd.,Energy,Equity,1.1%
NTPC Ltd.,Energy,Equity,1.1%
Hero Motocorp Ltd.,Automobile,Equity,1.1%
Avenue Supermarts Ltd.,Services,Equity,1.1%
Trent Ltd.,Services,Equity,1.1%
Archean Chemical Industries Ltd.,Chemicals,Equity,1.1%
NHPC Ltd.,Energy,Equity,1.0%
United Spirits Ltd.,Consumer Staples,Equity,1.0%
UPL Ltd.,Chemicals,Equity,1.0%
Nestle India Ltd.,Consumer Staples,Equity,1.0%
Exide Industries Ltd.,Capital Goods,Equity,1.0%
Bharat Electronics Ltd.,Capital Goods,Equity,1.0%
Oil India Ltd.,Energy,Equity,1.0%
L&T Technology Services Ltd.,Technology,Equity,1.0%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.8%
LTIMindtree Ltd.,Technology,Equity,0.7%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.7%
ACC Ltd.,Construction,Equity,0.4%
GOI,Sovereign,GOI Sec,0.4%
