Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,8.5%
HDFC Bank Ltd.,Financial,Equity,7.5%
Infosys Ltd.,Technology,Equity,5.8%
Reliance Industries Ltd.,Energy,Equity,4.7%
NHPC Ltd.,Energy,Equity,4.0%
Varun Beverages Ltd.,Consumer Staples,Equity,2.8%
Cummins India Ltd.,Capital Goods,Equity,2.8%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,2.7%
Coforge Ltd.,Technology,Equity,2.6%
Schaeffler India Ltd.,Capital Goods,Equity,2.6%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,2.6%
Axis Bank Ltd.,Financial,Equity,2.5%
Dalmia Bharat Ltd.,Construction,Equity,2.5%
Indusind Bank Ltd.,Financial,Equity,2.5%
Trent Ltd.,Services,Equity,2.4%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.4%
ACC Ltd.,Construction,Equity,2.3%
The Phoenix Mills Ltd.,Construction,Equity,2.3%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,2.3%
State Bank of India,Financial,Equity,2.3%
Larsen & Toubro Ltd.,Construction,Equity,2.3%
Bharti Airtel Ltd.,Communication,Equity,2.2%
The Indian Hotels Company Ltd.,Services,Equity,2.2%
Fortis Healthcare Ltd.,Healthcare,Equity,2.1%
Bank Of Baroda,Financial,Equity,2.0%
UNO Minda Ltd.,Automobile,Equity,1.9%
Canara Bank,Financial,Equity,1.8%
ITC Ltd.,Consumer Staples,Equity,1.8%
Titan Company Ltd.,Consumer Discretionary,Equity,1.6%
Century Textiles & Industries Ltd.,Consumer Staples,Equity,1.4%
Persistent Systems Ltd.,Technology,Equity,1.3%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.3%
Maruti Suzuki India Ltd.,Automobile,Equity,1.3%
Carborundum Universal Ltd.,Metals & Mining,Equity,1.2%
Brigade Enterprises Ltd.,Construction,Equity,1.0%
Supreme Industries Ltd.,Chemicals,Equity,1.0%
RBL Bank Ltd.,Financial,Equity,1.0%
NMDC Ltd.,Metals & Mining,Equity,0.8%
Aarti Pharmalabs Ltd.,Services,Equity,0.1%
