Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,7.6%
Infosys Ltd.,Technology,Equity,6.8%
HDFC Bank Ltd.,Financial,Equity,4.3%
Reliance Industries Ltd.,Energy,Equity,4.1%
Persistent Systems Ltd.,Technology,Equity,3.9%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,3.8%
Hindalco Industries Ltd.,Metals & Mining,Equity,2.7%
Axis Bank Ltd.,Financial,Equity,2.6%
Tata Power Company Ltd.,Energy,Equity,2.5%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,2.3%
HCL Technologies Ltd.,Technology,Equity,2.2%
Timken India Ltd.,Capital Goods,Equity,2.0%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.9%
Indusind Bank Ltd.,Financial,Equity,1.8%
Fortis Healthcare Ltd.,Healthcare,Equity,1.8%
Zee Entertainment Enterprises Ltd.,Services,Equity,1.8%
Dabur India Ltd.,Consumer Staples,Equity,1.8%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.8%
Coforge Ltd.,Technology,Equity,1.8%
Ashok Leyland Ltd.,Automobile,Equity,1.8%
Can Fin Homes Ltd.,Financial,Equity,1.7%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.6%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.6%
Asian Paints Ltd.,Chemicals,Equity,1.6%
Bajaj Finance Ltd.,Financial,Equity,1.6%
Dalmia Bharat Ltd.,Construction,Equity,1.6%
Indian Energy Exchange Ltd.,Services,Equity,1.5%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.5%
Ipca Laboratories Ltd.,Healthcare,Equity,1.5%
Cummins India Ltd.,Capital Goods,Equity,1.4%
Tech Mahindra Ltd.,Technology,Equity,1.4%
Bharti Airtel Ltd.,Communication,Equity,1.4%
Minda Industries Ltd.,Automobile,Equity,1.4%
Natco Pharma Ltd.,Healthcare,Equity,1.3%
Nazara Technologies Ltd.,Technology,Equity,1.3%
Brigade Enterprises Ltd.,Construction,Equity,1.2%
Housing Development Finance Corpn. Ltd.,Financial,Warrant,1.2%
Ultratech Cement Ltd.,Construction,Equity,1.2%
Tata Steel Ltd.,Metals & Mining,Equity,1.2%
Kei Industries Ltd.,Capital Goods,Equity,1.1%
Nestle India Ltd.,Consumer Staples,Equity,1.1%
Sterlite Technologies Ltd.,Communication,Equity,1.1%
Sudarshan Chemical Industries Ltd.,Chemicals,Equity,1.1%
Tata Consumer Products Ltd.,Consumer Staples,Equity,1.1%
PNC Infratech Ltd.,Construction,Equity,1.0%
Balkrishna Industries Ltd.,Automobile,Equity,0.9%
