Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,9.0%
HDFC Bank Ltd.,Financial,Equity,7.5%
Reliance Industries Ltd.,Energy,Equity,7.1%
Infosys Ltd.,Technology,Equity,6.9%
Housing Development Finance Corpn. Ltd.,Financial,Equity,4.3%
HCL Technologies Ltd.,Technology,Equity,4.0%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,3.4%
Axis Bank Ltd.,Financial,Equity,3.1%
Larsen & Toubro Ltd.,Construction,Equity,2.9%
Hindustan Unilever Ltd.,Consumer Staples,Equity,2.9%
Hindalco Industries Ltd.,Metals & Mining,Equity,2.5%
Tata Steel Ltd.,Metals & Mining,Equity,2.5%
Indusind Bank Ltd.,Financial,Equity,2.3%
Kotak Mahindra Bank Ltd.,Financial,Equity,2.2%
Avenue Supermarts Ltd.,Services,Equity,2.2%
Tata Consumer Products Ltd.,Consumer Staples,Equity,2.2%
Ashok Leyland Ltd.,Automobile,Equity,2.2%
Divi's Laboratories Ltd.,Healthcare,Equity,2.1%
Tata Consultancy Services Ltd.,Technology,Equity,2.1%
Nestle India Ltd.,Consumer Staples,Equity,2.1%
Tech Mahindra Ltd.,Technology,Equity,2.1%
Balkrishna Industries Ltd.,Automobile,Equity,2.0%
State Bank of India,Financial,Equity,1.9%
Bajaj Finserv Ltd.,Financial,Equity,1.9%
NTPC Ltd.,Energy,Equity,1.6%
Asian Paints Ltd.,Chemicals,Equity,1.6%
Titan Company Ltd.,Consumer Discretionary,Equity,1.5%
Bharti Airtel Ltd.,Communication,Equity,1.5%
Pidilite Industries Ltd.,Chemicals,Equity,1.4%
Siemens Ltd.,Capital Goods,Equity,1.4%
Bajaj Finance Ltd.,Financial,Equity,1.4%
Ultratech Cement Ltd.,Construction,Equity,1.3%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.1%
Bharti Airtel Ltd. Partly Paid Equity,Communication,PPE,0.5%
