Name,Sector,Instrument,Assets
Infosys Ltd.,Technology,Equity,6.5%
ITC Ltd.,Consumer Staples,Equity,5.5%
RHI Magnesita India Ltd.,Construction,Equity,3.7%
NMDC Ltd.,Metals & Mining,Equity,3.6%
NTPC Ltd.,Energy,Equity,3.5%
The Federal Bank Ltd.,Financial,Equity,3.2%
Lvmh Moet Hennessy Louis Vuitton Sa,Textiles,Forgn. Eq,3.1%
Kewal Kiran Clothing Ltd.,Textiles,Equity,2.8%
Starbucks Corporation (USA),Services,Forgn. Eq,2.6%
Persistent Systems Ltd.,Technology,Equity,2.5%
Tata Consultancy Services Ltd.,Technology,Equity,2.5%
Bharat Petroleum Corporation Ltd.,Energy,Equity,2.5%
Bharat Electronics Ltd.,Capital Goods,Equity,2.1%
L'Oreal,Consumer Staples,Forgn. Eq,2.1%
NLC India Ltd.,Energy,Equity,2.1%
Coal India Ltd.,Energy,Equity,2.1%
Tamil Nadu Newsprint & Papers Ltd.,Consumer Staples,Equity,2.0%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.9%
Larsen & Toubro Ltd.,Construction,Equity,1.8%
ICICI Securities Ltd.,Financial,Equity,1.8%
Multi Commodity Exchange Of India Ltd.,Services,Equity,1.8%
Bank Of Baroda,Financial,Equity,1.8%
Bank of India,Financial,Equity,1.6%
Dalmia Bharat Ltd.,Construction,Equity,1.6%
Punjab National Bank,Financial,Equity,1.6%
HCL Technologies Ltd.,Technology,Equity,1.6%
State Bank of India,Financial,Equity,1.5%
Dhanuka Agritech Ltd.,Chemicals,Equity,1.5%
Accenture PLC,Others,Forgn. Eq,1.5%
Greaves Cotton Ltd.,Capital Goods,Equity,1.5%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.5%
Tech Mahindra Ltd.,Technology,Equity,1.4%
Hero Motocorp Ltd.,Automobile,Equity,1.4%
LTIMindtree Ltd.,Technology,Equity,1.4%
GHCL Ltd.,Chemicals,Equity,1.4%
Avanti Feeds Ltd.,Consumer Staples,Equity,1.3%
Akzo Nobel India Ltd.,Chemicals,Equity,1.3%
Care Ratings Ltd.,Services,Equity,1.3%
Castrol India Ltd.,Energy,Equity,1.2%
Sanofi India Ltd.,Healthcare,Equity,1.2%
Bata India Ltd.,Consumer Staples,Equity,1.1%
Tata Steel Ltd.,Metals & Mining,Equity,1.1%
Granules India Ltd.,Healthcare,Equity,1.1%
National Aluminium Company Ltd.,Metals & Mining,Equity,1.1%
Britannia Industries Ltd.,Consumer Staples,Equity,1.0%
Mphasis Ltd.,Technology,Equity,1.0%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,0.9%
NMDC Steel Ltd.,Metals & Mining,Equity,0.9%
CESC Ltd.,Energy,Equity,0.7%
Radiant Cash Management Services Ltd.,Financial,Equity,0.6%
Emami Ltd.,Consumer Staples,Equity,0.5%
Cummins India Ltd.,Capital Goods,Equity,0.4%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,0.4%
The Ramco Cements Ltd.,Construction,Equity,0.3%
EPL Ltd.,Chemicals,Equity,0.3%
Muthoot Finance Ltd.,Financial,Equity,0.1%
