Name,Sector,Instrument,Assets
Infosys Ltd.,Technology,Equity,25.5%
Tata Consultancy Services Ltd.,Technology,Equity,10.5%
HCL Technologies Ltd.,Technology,Equity,8.9%
Tech Mahindra Ltd.,Technology,Equity,8.0%
LTIMindtree Ltd.,Technology,Equity,6.6%
Bharti Airtel Ltd.,Communication,Equity,5.3%
Coforge Ltd.,Technology,Equity,3.3%
Cyient Ltd.,Technology,Equity,3.3%
Birlasoft Ltd.,Technology,Equity,2.4%
Wipro Ltd.,Technology,Equity,2.2%
Zee Entertainment Enterprises Ltd.,Services,Equity,2.1%
Honeywell Automation India Ltd.,Capital Goods,Equity,1.7%
Sonata Software Ltd.,Technology,Equity,1.5%
FSN E-Commerce Ventures Ltd.,Services,Equity,1.3%
Persistent Systems Ltd.,Technology,Equity,1.3%
KPIT Technologies Ltd.,Technology,Equity,1.3%
One97 Communications Ltd.,Services,Equity,1.2%
Latent View Analytics Ltd.,Technology,Equity,1.2%
Mphasis Ltd.,Technology,Equity,1.2%
RateGain Travel Technologies Ltd.,Technology,Equity,1.0%
L&T Technology Services Ltd.,Technology,Equity,1.0%
Microsoft Corportion (US),Technology,Forgn. Eq,0.9%
CMS Info Systems Ltd.,Services,Equity,0.9%
Apple Inc. (USA),Consumer Discretionary,Forgn. Eq,0.9%
INOX Leisure Ltd.,Services,Equity,0.8%
Zomato Ltd.,Services,Equity,0.7%
PB Fintech Ltd.,Services,Equity,0.7%
Redington Ltd.,Services,Equity,0.6%
Sterlite Technologies Ltd.,Communication,Equity,0.6%
Tata Communications Ltd.,Communication,Equity,0.5%
Accenture PLC,Others,Forgn. Eq,0.5%
Aditya Birla Sun Life Nifty IT ETF - Growth,Financial,Mutual Fund,0.4%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.3%
eMudhra Ltd.,Services,Equity,0.3%
CE Info Systems Ltd.,Technology,Equity,0.2%
