Name,Sector,Instrument,Assets
State Bank of India,Financial,Equity,6.7%
ICICI Bank Ltd.,Financial,Equity,4.7%
The Federal Bank Ltd.,Financial,Equity,4.5%
LTIMindtree Ltd.,Technology,Equity,3.9%
Axis Bank Ltd.,Financial,Equity,3.3%
Ramkrishna Forgings Ltd.,Metals & Mining,Equity,3.0%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,2.5%
Reliance Industries Ltd.,Energy,Equity,2.3%
Tech Mahindra Ltd.,Technology,Equity,2.3%
Infosys Ltd.,Technology,Equity,2.2%
Welspun Corp Ltd.,Metals & Mining,Equity,2.2%
HCL Technologies Ltd.,Technology,Equity,2.1%
Indusind Bank Ltd.,Financial,Equity,2.0%
Granules India Ltd.,Healthcare,Equity,2.0%
Honeywell Automation India Ltd.,Capital Goods,Equity,2.0%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.9%
Poonawalla Fincorp Ltd.,Financial,Equity,1.8%
Bandhan Bank Ltd.,Financial,Equity,1.8%
Carborundum Universal Ltd.,Metals & Mining,Equity,1.8%
Larsen & Toubro Ltd.,Construction,Equity,1.7%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,1.7%
Dalmia Bharat Ltd.,Construction,Equity,1.6%
Maruti Suzuki India Ltd.,Automobile,Equity,1.6%
DLF Ltd. - (DLF),Construction,Equity,1.5%
Pricol Ltd.,Automobile,Equity,1.5%
Persistent Systems Ltd.,Technology,Equity,1.4%
Minda Corporation Ltd.,Automobile,Equity,1.4%
Strides Pharma Science Ltd.,Healthcare,Equity,1.4%
Multi Commodity Exchange Of India Ltd.,Services,Equity,1.4%
ITC Ltd.,Consumer Staples,Equity,1.3%
Orient Cement Ltd.,Construction,Equity,1.3%
Bata India Ltd.,Consumer Staples,Equity,1.3%
Tata Steel Ltd.,Metals & Mining,Equity,1.2%
Escorts Kubota Ltd.,Automobile,Equity,1.2%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.1%
UPL Ltd.,Chemicals,Equity,1.1%
Oberoi Realty Ltd.,Construction,Equity,1.0%
Punjab National Bank,Financial,Equity,1.0%
Bank of India,Financial,Equity,1.0%
Tata Communications Ltd.,Communication,Equity,1.0%
Praj Industries Ltd.,Capital Goods,Equity,0.9%
Tamil Nadu Newsprint & Papers Ltd.,Consumer Staples,Equity,0.9%
SIS Ltd.,Services,Equity,0.9%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,0.9%
SBI Life Insurance Company Ltd.,Insurance,Equity,0.9%
The Ramco Cements Ltd.,Construction,Equity,0.9%
NLC India Ltd.,Energy,Equity,0.8%
MTAR Technologies Ltd.,Capital Goods,Equity,0.8%
ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,0.8%
Sobha Ltd.,Construction,Equity,0.7%
Max Financial Services Ltd.,Financial,Equity,0.7%
NTPC Ltd.,Energy,Equity,0.7%
IG Petrochemicals Ltd.,Chemicals,Equity,0.7%
JSW Energy Ltd.,Capital Goods,Equity,0.7%
Chalet Hotels Ltd.,Services,Equity,0.7%
Anupam Rasayan India Ltd.,Chemicals,Equity,0.6%
Gulshan Polyols Ltd.,Chemicals,Equity,0.5%
Dishman Carbogen Amcis Ltd.,Healthcare,Equity,0.5%
Craftsman Automation Ltd.,Automobile,Equity,0.5%
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Chemicals,Equity,0.5%
JK Lakshmi Cement Ltd.,Construction,Equity,0.5%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,0.5%
Hathway Cable & Datacom Ltd.,Communication,Equity,0.4%
Birla Corporation Ltd.,Construction,Equity,0.4%
Nath Bio-Genes (India) Ltd.,Consumer Staples,Equity,0.4%
Mphasis Ltd.,Technology,Equity,0.3%
Uniparts India Ltd.,Automobile,Equity,0.3%
Life Insurance Corporation of India,Insurance,Equity,0.3%
NMDC Ltd.,Metals & Mining,Equity,0.2%
Grindwell Norton Ltd.,Metals & Mining,Equity,0.2%
Radiant Cash Management Services Ltd.,Financial,Equity,0.1%
