Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,7.8%
Housing Development Finance Corporation Ltd.,Financial,Equity,5.9%
Honeywell Automation India Ltd.,Capital Goods,Equity,5.8%
Infosys Ltd.,Technology,Equity,5.4%
HDFC Bank Ltd.,Financial,Equity,5.4%
Reliance Industries Ltd.,Energy,Equity,4.5%
Larsen & Toubro Ltd.,Construction,Equity,4.0%
Axis Bank Ltd.,Financial,Equity,3.4%
Shoppers Stop Ltd.,Services,Equity,3.3%
Bayer CropScience Ltd.,Chemicals,Equity,3.2%
Gillette India Ltd.,Consumer Staples,Equity,3.1%
State Bank of India,Financial,Equity,3.0%
Sundaram-Clayton Ltd.,Automobile,Equity,3.0%
Fortis Healthcare Ltd.,Healthcare,Equity,2.9%
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Equity,2.7%
Pfizer Ltd.,Healthcare,Equity,2.3%
Shree Cement Ltd.,Construction,Equity,2.0%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.9%
Tata Consultancy Services Ltd.,Technology,Equity,1.8%
Kansai Nerolac Paints Ltd.,Chemicals,Equity,1.6%
Container Corporation Of India Ltd.,Services,Equity,1.4%
Biocon Ltd.,Healthcare,Equity,1.4%
ICRA Ltd.,Services,Equity,1.2%
Bandhan Bank Ltd.,Financial,Equity,1.2%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.2%
Indusind Bank Ltd.,Financial,Equity,1.2%
Titan Company Ltd.,Consumer Discretionary,Equity,1.1%
Johnson Controls - Hitachi Air Conditioning India Ltd.,Consumer Discretionary,Equity,1.1%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.0%
Interglobe Aviation Ltd.,Services,Equity,1.0%
Maruti Suzuki India Ltd.,Automobile,Equity,1.0%
Thomas Cook (India) Ltd.,Services,Equity,1.0%
Bosch Ltd.,Automobile,Equity,1.0%
IDFC First Bank Ltd.,Financial,Equity,0.9%
Bajaj Finance Ltd.,Financial,Equity,0.9%
Ultratech Cement Ltd.,Construction,Equity,0.9%
Quess Corp Ltd.,Financial,Equity,0.9%
Bharti Airtel Ltd.,Communication,Equity,0.9%
Bata India Ltd.,Consumer Staples,Equity,0.9%
Century Textiles & Industries Ltd.,Consumer Staples,Equity,0.7%
FSN E-Commerce Ventures Ltd.,Services,Equity,0.6%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.5%
Mahindra & Mahindra Ltd.,Automobile,Equity,0.5%
Dabur India Ltd.,Consumer Staples,Equity,0.5%
Tata Steel Ltd.,Metals & Mining,Equity,0.5%
Restaurant Brands Asia Ltd.,Services,Equity,0.5%
PB Fintech Ltd.,Services,Equity,0.5%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.4%
Zomato Ltd.,Services,Equity,0.4%
Jubilant FoodWorks Ltd.,Services,Equity,0.2%
