Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,9.6%
Housing Development Finance Corporation Ltd.,Financial,Equity,9.4%
Infosys Ltd.,Technology,Equity,7.7%
Reliance Industries Ltd.,Energy,Equity,5.7%
Axis Bank Ltd.,Financial,Equity,5.1%
State Bank of India,Financial,Equity,4.8%
Larsen & Toubro Ltd.,Construction,Equity,4.7%
Bharti Airtel Ltd.,Communication,Equity,4.0%
SBI Life Insurance Company Ltd.,Insurance,Equity,3.8%
Ultratech Cement Ltd.,Construction,Equity,3.3%
Mahindra & Mahindra Ltd.,Automobile,Equity,3.1%
HCL Technologies Ltd.,Technology,Equity,2.8%
Bajaj Finance Ltd.,Financial,Equity,2.7%
Bata India Ltd.,Consumer Staples,Equity,2.6%
United Spirits Ltd.,Consumer Staples,Equity,2.5%
Tech Mahindra Ltd.,Technology,Equity,2.3%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.9%
The Phoenix Mills Ltd.,Construction,Equity,1.9%
Bandhan Bank Ltd.,Financial,Equity,1.8%
Tata Consumer Products Ltd.,Consumer Staples,Equity,1.8%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.7%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.7%
NTPC Ltd.,Energy,Equity,1.5%
SBI Cards And Payment Services Ltd.,Financial,Equity,1.4%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,1.2%
Tata Motors Ltd.,Automobile,Equity,1.0%
Maruti Suzuki India Ltd.,Automobile,Equity,0.9%
Housing Development Finance Corporation Ltd.,Financial,Warrant,0.7%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.6%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.3%
Gland Pharma Ltd.,Healthcare,Equity,0.2%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.2%
