Name,Sector,Instrument,Assets
Larsen & Toubro Ltd.,Construction,Equity,9.3%
Ultratech Cement Ltd.,Construction,Equity,4.3%
NTPC Ltd.,Energy,Equity,4.3%
Reliance Industries Ltd.,Energy,Equity,3.0%
JK Cement Ltd.,Construction,Equity,2.8%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,2.8%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,2.6%
Bharti Airtel Ltd.,Communication,Equity,2.6%
Tata Steel Ltd.,Metals & Mining,Equity,2.6%
Solar Industries India Ltd.,Chemicals,Equity,2.5%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,2.2%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.1%
Rolex Rings Ltd,Capital Goods,Equity,2.1%
Coal India Ltd.,Energy,Equity,2.0%
Carborundum Universal Ltd.,Metals & Mining,Equity,2.0%
DLF Ltd. - (DLF),Construction,Equity,2.0%
Brigade Enterprises Ltd.,Construction,Equity,2.0%
Torrent Power Ltd.,Energy,Equity,1.7%
Eicher Motors Ltd.,Automobile,Equity,1.7%
JK Lakshmi Cement Ltd.,Construction,Equity,1.6%
Hindalco Industries Ltd.,Metals & Mining,Equity,1.6%
Apollo Tyres Ltd.,Automobile,Equity,1.6%
Siemens Ltd.,Capital Goods,Equity,1.5%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.5%
Steel Authority Of India Ltd.,Metals & Mining,Equity,1.5%
KNR Constructions Ltd.,Construction,Equity,1.5%
Astral Ltd.,Chemicals,Equity,1.5%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.5%
Ashok Leyland Ltd.,Automobile,Equity,1.4%
JSW Steel Ltd.,Metals & Mining,Equity,1.4%
Bharat Electronics Ltd.,Capital Goods,Equity,1.4%
Indraprastha Gas Ltd.,Energy,Equity,1.4%
Tube Investments Of India Ltd.,Automobile,Equity,1.4%
Kei Industries Ltd.,Capital Goods,Equity,1.4%
AIA Engineering Ltd.,Metals & Mining,Equity,1.4%
Bharat Forge Ltd.,Automobile,Equity,1.4%
Timken India Ltd.,Capital Goods,Equity,1.3%
Schaeffler India Ltd.,Capital Goods,Equity,1.2%
Alicon Castalloy Ltd.,Metals & Mining,Equity,1.2%
Sumitomo Chemical India Ltd.,Chemicals,Equity,1.2%
La Opala RG Ltd.,Construction,Equity,1.2%
Gujarat Gas Ltd.,Energy,Equity,1.1%
Esab India Ltd.,Capital Goods,Equity,1.1%
Linde India Ltd.,Chemicals,Equity,1.1%
The Phoenix Mills Ltd.,Construction,Equity,1.1%
Grindwell Norton Ltd.,Metals & Mining,Equity,1.1%
Honeywell Automation India Ltd.,Capital Goods,Equity,1.0%
ITD Cementation India Ltd.,Construction,Equity,1.0%
MTAR Technologies Ltd.,Capital Goods,Equity,1.0%
ABB India Ltd.,Capital Goods,Equity,0.9%
Hindustan Copper Ltd.,Metals & Mining,Equity,0.9%
Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,0.8%
Rail Vikas Nigam Ltd.,Construction,Equity,0.3%
Reserve Bank of India,Financial,T-Bills,0.1%
