Name,Sector,Instrument,Assets
Timken India Ltd.,Capital Goods,Equity,3.1%
ICICI Bank Ltd.,Financial,Equity,2.9%
City Union Bank Ltd.,Financial,Equity,2.6%
The Phoenix Mills Ltd.,Construction,Equity,2.1%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,2.1%
Canara Bank,Financial,Equity,1.9%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.9%
Larsen & Toubro Ltd.,Construction,Equity,1.9%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.9%
Solar Industries India Ltd.,Chemicals,Equity,1.9%
The Federal Bank Ltd.,Financial,Equity,1.8%
JTEKT India Ltd.,Automobile,Equity,1.8%
JK Lakshmi Cement Ltd.,Construction,Equity,1.8%
Westlife Foodworld Ltd,Services,Equity,1.8%
Kei Industries Ltd.,Capital Goods,Equity,1.8%
Rolex Rings Ltd,Capital Goods,Equity,1.8%
Shanthi Gears Ltd.,Automobile,Equity,1.8%
Vedant Fashions Ltd.,Services,Equity,1.8%
Lemon Tree Hotels Ltd.,Services,Equity,1.7%
K.P.R. Mill Ltd.,Textiles,Equity,1.7%
Apollo Tyres Ltd.,Automobile,Equity,1.7%
Home First Finance Company India Ltd.,Financial,Equity,1.6%
Apollo Pipes Ltd.,Chemicals,Equity,1.6%
Tube Investments Of India Ltd.,Automobile,Equity,1.6%
VIP Industries Ltd.,Chemicals,Equity,1.6%
RHI Magnesita India Ltd.,Construction,Equity,1.5%
SKF India Ltd.,Capital Goods,Equity,1.5%
CCL Products (India) Ltd.,Consumer Staples,Equity,1.5%
Jamna Auto Industries Ltd.,Automobile,Equity,1.5%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.5%
Metro Brands Ltd.,Consumer Staples,Equity,1.4%
Brigade Enterprises Ltd.,Construction,Equity,1.4%
Blue Star Ltd.,Consumer Discretionary,Equity,1.4%
CreditAccess Grameen Ltd.,Financial,Equity,1.4%
Carborundum Universal Ltd.,Metals & Mining,Equity,1.4%
Ambuja Cements Ltd.,Construction,Equity,1.4%
La Opala RG Ltd.,Construction,Equity,1.4%
Go Fashion (India) Ltd.,Services,Equity,1.3%
Astec Lifesciences Ltd.,Chemicals,Equity,1.3%
AU Small Finance Bank Ltd.,Financial,Equity,1.3%
Mold-Tek Packaging Ltd.,Chemicals,Equity,1.3%
Multi Commodity Exchange Of India Ltd.,Services,Equity,1.3%
KSB Ltd.,Capital Goods,Equity,1.3%
Praj Industries Ltd.,Capital Goods,Equity,1.3%
RateGain Travel Technologies Ltd.,Technology,Equity,1.2%
Navin Fluorine International Ltd.,Chemicals,Equity,1.2%
Cera Sanitaryware Ltd.,Construction,Equity,1.2%
Grindwell Norton Ltd.,Metals & Mining,Equity,1.2%
Tata Consultancy Services Ltd.,Technology,Equity,1.1%
Persistent Systems Ltd.,Technology,Equity,1.1%
Fine Organic Industries Ltd.,Chemicals,Equity,1.1%
Linde India Ltd.,Chemicals,Equity,1.0%
Hitachi Energy India Ltd.,Capital Goods,Equity,1.0%
Rajratan Global Wire Ltd.,Metals & Mining,Equity,1.0%
Century Plyboards (India) Ltd.,Consumer Staples,Equity,1.0%
Mahindra Lifespace Developers Ltd.,Construction,Equity,0.9%
Harsha Engineers International Ltd.,Capital Goods,Equity,0.9%
Neogen Chemicals Ltd.,Chemicals,Equity,0.9%
Greenpanel Industries Ltd.,Consumer Staples,Equity,0.9%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.9%
KNR Constructions Ltd.,Construction,Equity,0.8%
Birla Corporation Ltd.,Construction,Equity,0.8%
Barbeque-Nation Hospitality Ltd.,Services,Equity,0.8%
Galaxy Surfactants Ltd.,Chemicals,Equity,0.7%
UNO Minda Ltd.,Automobile,Equity,0.6%
