Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,9.7%
ICICI Bank Ltd.,Financial,Equity,9.4%
Infosys Ltd.,Technology,Equity,7.1%
State Bank of India,Financial,Equity,5.3%
Axis Bank Ltd.,Financial,Equity,4.9%
Larsen & Toubro Ltd.,Construction,Equity,4.2%
Reliance Industries Ltd.,Energy,Equity,4.0%
Bajaj Finance Ltd.,Financial,Equity,3.9%
Hindustan Unilever Ltd.,Consumer Staples,Equity,3.7%
Bharti Airtel Ltd.,Communication,Equity,3.6%
Ultratech Cement Ltd.,Construction,Equity,3.5%
Trent Ltd.,Services,Equity,3.0%
SBI Life Insurance Company Ltd.,Insurance,Equity,3.0%
The Indian Hotels Company Ltd.,Services,Equity,2.8%
Max Healthcare Institute Ltd.,Healthcare,Equity,2.7%
Maruti Suzuki India Ltd.,Automobile,Equity,2.7%
UNO Minda Ltd.,Automobile,Equity,2.4%
Bharat Electronics Ltd.,Capital Goods,Equity,2.4%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,2.2%
PI Industries Ltd.,Chemicals,Equity,2.1%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.9%
Titan Company Ltd.,Consumer Discretionary,Equity,1.8%
Abbott India Ltd.,Healthcare,Equity,1.8%
Tata Consultancy Services Ltd.,Technology,Equity,1.6%
Schaeffler India Ltd.,Capital Goods,Equity,1.6%
Avenue Supermarts Ltd.,Services,Equity,1.6%
Navin Fluorine International Ltd.,Chemicals,Equity,1.2%
TCI Express Ltd.,Services,Equity,0.9%
Westlife Foodworld Ltd,Services,Equity,0.9%
