Name,Sector,Instrument,Assets
The Federal Bank Ltd.,Financial,Equity,3.8%
UNO Minda Ltd.,Automobile,Equity,3.4%
Abbott India Ltd.,Healthcare,Equity,3.2%
PI Industries Ltd.,Chemicals,Equity,3.0%
Sundram Fasteners Ltd.,Capital Goods,Equity,2.8%
Trent Ltd.,Services,Equity,2.7%
United Breweries Ltd.,Consumer Staples,Equity,2.7%
Bharat Forge Ltd.,Automobile,Equity,2.5%
Polycab India Ltd.,Capital Goods,Equity,2.5%
Astral Ltd.,Chemicals,Equity,2.4%
Ashok Leyland Ltd.,Automobile,Equity,2.4%
Indian Bank,Financial,Equity,2.4%
JK Cement Ltd.,Construction,Equity,2.4%
Crisil Ltd.,Services,Equity,2.3%
Sundaram Finance Ltd.,Financial,Equity,2.3%
Persistent Systems Ltd.,Technology,Equity,2.3%
Kajaria Ceramics Ltd.,Construction,Equity,2.3%
TVS Motor Company Ltd.,Automobile,Equity,2.3%
Ipca Laboratories Ltd.,Healthcare,Equity,2.2%
Deepak Nitrite Ltd.,Chemicals,Equity,2.2%
Atul Ltd.,Chemicals,Equity,2.2%
AIA Engineering Ltd.,Metals & Mining,Equity,2.0%
Devyani International Ltd.,Services,Equity,1.9%
Schaeffler India Ltd.,Capital Goods,Equity,1.9%
Linde India Ltd.,Chemicals,Equity,1.8%
Navin Fluorine International Ltd.,Chemicals,Equity,1.7%
Global Health Ltd.,Healthcare,Equity,1.6%
Whirlpool Of India Ltd.,Consumer Discretionary,Equity,1.6%
Page Industries Ltd.,Textiles,Equity,1.5%
Avenue Supermarts Ltd.,Services,Equity,1.4%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.3%
Go Fashion (India) Ltd.,Services,Equity,1.2%
JK Lakshmi Cement Ltd.,Construction,Equity,1.1%
K.P.R. Mill Ltd.,Textiles,Equity,1.0%
Bharat Electronics Ltd.,Capital Goods,Equity,0.9%
Max Healthcare Institute Ltd.,Healthcare,Equity,0.7%
