Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,9.9%
Bajaj Finance Ltd.,Financial,Equity,7.8%
Infosys Ltd.,Technology,Equity,6.2%
Cipla Ltd.,Healthcare,Equity,5.5%
Eicher Motors Ltd.,Automobile,Equity,4.8%
Tech Mahindra Ltd.,Technology,Equity,4.7%
Ultratech Cement Ltd.,Construction,Equity,3.9%
SBI Life Insurance Company Ltd.,Insurance,Equity,3.8%
Emami Ltd.,Consumer Staples,Equity,3.5%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,3.3%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,3.2%
Bharat Forge Ltd.,Automobile,Equity,3.2%
Jubilant FoodWorks Ltd.,Services,Equity,3.1%
Supreme Industries Ltd.,Chemicals,Equity,3.1%
Ipca Laboratories Ltd.,Healthcare,Equity,2.9%
Container Corporation Of India Ltd.,Services,Equity,2.8%
Coromandel International Ltd.,Chemicals,Equity,2.8%
The Phoenix Mills Ltd.,Construction,Equity,2.8%
SBI Cards And Payment Services Ltd.,Financial,Equity,2.5%
Gujarat Gas Ltd.,Energy,Equity,2.5%
Alkem Laboratories Ltd.,Healthcare,Equity,2.5%
Persistent Systems Ltd.,Technology,Equity,2.4%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,2.3%
Tata Motors Ltd.,Automobile,Equity,2.2%
Polycab India Ltd.,Capital Goods,Equity,2.1%
Linde India Ltd.,Chemicals,Equity,1.4%
Century Plyboards (India) Ltd.,Consumer Staples,Equity,1.4%
Sheela Foam Ltd.,Consumer Discretionary,Equity,1.1%
