Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,6.8%
ICICI Bank Ltd.,Financial,Equity,6.4%
Infosys Ltd.,Technology,Equity,4.5%
Axis Bank Ltd.,Financial,Equity,3.9%
State Bank of India,Financial,Equity,3.7%
HCL Technologies Ltd.,Technology,Equity,2.3%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.2%
Supreme Industries Ltd.,Chemicals,Equity,2.0%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,1.9%
Container Corporation Of India Ltd.,Services,Equity,1.9%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.8%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.8%
Maruti Suzuki India Ltd.,Automobile,Equity,1.8%
Bharti Airtel Ltd.,Communication,Equity,1.7%
SBI Cards And Payment Services Ltd.,Financial,Equity,1.7%
Alkem Laboratories Ltd.,Healthcare,Equity,1.6%
Dalmia Bharat Ltd.,Construction,Equity,1.6%
ACC Ltd.,Construction,Equity,1.6%
The Phoenix Mills Ltd.,Construction,Equity,1.5%
Emami Ltd.,Consumer Staples,Equity,1.5%
Bharat Forge Ltd.,Automobile,Equity,1.5%
NTPC Ltd.,Energy,Equity,1.5%
LIC Housing Finance Ltd.,Financial,Equity,1.5%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.5%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,1.4%
Indraprastha Gas Ltd.,Energy,Equity,1.4%
The Federal Bank Ltd.,Financial,Equity,1.4%
Bank Of Baroda,Financial,Equity,1.4%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.4%
Ultratech Cement Ltd.,Construction,Equity,1.3%
Gujarat State Petronet Ltd.,Energy,Equity,1.3%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.3%
Coforge Ltd.,Technology,Equity,1.3%
AU Small Finance Bank Ltd.,Financial,Equity,1.2%
Tata Motors Ltd.,Automobile,Equity,1.2%
Tata Chemicals Ltd.,Chemicals,Equity,1.2%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.2%
KEC International Ltd.,Capital Goods,Equity,1.1%
Power Finance Corporation Ltd.,Financial,Equity,1.1%
Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,1.0%
Bharat Electronics Ltd.,Capital Goods,Equity,1.0%
Ipca Laboratories Ltd.,Healthcare,Equity,1.0%
Hero Motocorp Ltd.,Automobile,Equity,1.0%
Hatsun Agro Product Ltd.,Consumer Staples,Equity,1.0%
KNR Constructions Ltd.,Construction,Equity,1.0%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,0.9%
Samvardhana Motherson International Ltd.,Automobile,Equity,0.9%
Manappuram Finance Ltd.,Financial,Equity,0.9%
Bharat Petroleum Corporation Ltd.,Energy,Equity,0.9%
Ashok Leyland Ltd.,Automobile,Equity,0.9%
Tech Mahindra Ltd.,Technology,Equity,0.9%
Max Financial Services Ltd.,Financial,Equity,0.9%
CESC Ltd.,Energy,Equity,0.9%
UNO Minda Ltd.,Automobile,Equity,0.8%
Ahluwalia Contracts (India) Ltd.,Construction,Equity,0.8%
Coromandel International Ltd.,Chemicals,Equity,0.8%
Atul Ltd.,Chemicals,Equity,0.8%
Whirlpool Of India Ltd.,Consumer Discretionary,Equity,0.8%
K.P.R. Mill Ltd.,Textiles,Equity,0.7%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.7%
Century Plyboards (India) Ltd.,Consumer Staples,Equity,0.7%
Equitas Holdings Ltd.,Financial,Equity,0.6%
Polycab India Ltd.,Capital Goods,Equity,0.5%
GR Infraprojects Ltd.,Construction,Equity,0.5%
Pfizer Ltd.,Healthcare,Equity,0.4%
CarTrade Tech Ltd.,Services,Equity,0.3%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.1%
