Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,10.0%
ICICI Bank Ltd.,Financial,Equity,9.6%
Axis Bank Ltd.,Financial,Equity,7.9%
HCL Technologies Ltd.,Technology,Equity,5.4%
SBI Life Insurance Company Ltd.,Insurance,Equity,4.9%
Power Grid Corporation Of India Ltd.,Energy,Equity,4.6%
ITC Ltd.,Consumer Staples,Equity,4.6%
Tech Mahindra Ltd.,Technology,Equity,3.6%
SBI Cards And Payment Services Ltd.,Financial,Equity,3.2%
Eicher Motors Ltd.,Automobile,Equity,3.0%
State Bank of India,Financial,Equity,3.0%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.8%
Cipla Ltd.,Healthcare,Equity,2.7%
Mahindra & Mahindra Ltd.,Automobile,Equity,2.5%
Infosys Ltd.,Technology,Equity,2.4%
Hero Motocorp Ltd.,Automobile,Equity,2.3%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.2%
Bajaj Finance Ltd.,Financial,Equity,2.2%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,2.1%
Alkem Laboratories Ltd.,Healthcare,Equity,2.1%
Ultratech Cement Ltd.,Construction,Equity,1.8%
Tata Motors Ltd.,Automobile,Equity,1.7%
Emami Ltd.,Consumer Staples,Equity,1.7%
Container Corporation Of India Ltd.,Services,Equity,1.5%
ACC Ltd.,Construction,Equity,1.5%
Ipca Laboratories Ltd.,Healthcare,Equity,1.3%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,1.2%
Samvardhana Motherson International Ltd.,Automobile,Equity,1.1%
Siemens Ltd.,Capital Goods,Equity,1.0%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,0.9%
Coromandel International Ltd.,Chemicals,Equity,0.9%
