Name,Sector,Instrument,Assets
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,16.3%
Cipla Ltd.,Healthcare,Equity,9.1%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,6.8%
Ipca Laboratories Ltd.,Healthcare,Equity,5.4%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,5.3%
Procter & Gamble Health Ltd.,Healthcare,Equity,5.1%
Alkem Laboratories Ltd.,Healthcare,Equity,4.3%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,3.9%
Indoco Remedies Ltd.,Healthcare,Equity,3.7%
Vijaya Diagnostic Centre Ltd.,Healthcare,Equity,3.6%
Intuitive Surgical Inc. (USA),Healthcare,Forgn. Eq,3.4%
Globus Medical Inc,Healthcare,Forgn. Eq,3.4%
Alembic Pharmaceuticals Ltd.,Healthcare,Equity,3.0%
Max Healthcare Institute Ltd.,Healthcare,Equity,2.9%
Aarti Drugs Ltd.,Healthcare,Equity,2.7%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,2.4%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,2.4%
Abbott Laboratories,Healthcare,Forgn. Eq,2.3%
Zydus Lifesciences Ltd.,Healthcare,Equity,2.1%
Syngene International Ltd.,Healthcare,Equity,1.8%
Global X Genomics & Biotechnology ETF,Financial,Forgn.MF- Equity,1.7%
Kovai Medical Center & Hospital Ltd.,Healthcare,Equity,1.6%
Illumina Inc. (USA),Healthcare,Forgn. Eq,1.1%
Medplus Health Services Ltd.,Healthcare,Equity,1.0%
Pfizer Ltd.,Healthcare,Equity,0.6%
