Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,5.1%
HDFC Bank Ltd.,Financial,Equity,4.7%
Housing Development Finance Corporation Ltd.,Financial,Equity,4.7%
Bajaj Finance Ltd.,Financial,Equity,3.8%
Bajaj Finserv Ltd.,Financial,Equity,3.8%
Larsen & Toubro Ltd.,Construction,Equity,3.5%
Bajaj Auto Ltd.,Automobile,Equity,3.5%
HDFC Life Insurance Co Ltd.,Insurance,Equity,3.3%
Kotak Mahindra Bank Ltd.,Financial,Equity,3.1%
Hero Motocorp Ltd.,Automobile,Equity,2.7%
Havells India Ltd.,Capital Goods,Equity,2.6%
Ambuja Cements Ltd.,Construction,Equity,2.4%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,2.4%
Page Industries Ltd.,Textiles,Equity,2.4%
JSW Steel Ltd.,Metals & Mining,Equity,2.3%
Hindustan Unilever Ltd.,Consumer Staples,Equity,2.1%
Ultratech Cement Ltd.,Construction,Equity,2.1%
Asian Paints Ltd.,Chemicals,Equity,2.1%
Britannia Industries Ltd.,Consumer Staples,Equity,2.0%
Cipla Ltd.,Healthcare,Equity,2.0%
Astral Ltd.,Chemicals,Equity,1.9%
ACC Ltd.,Construction,Equity,1.9%
HCL Technologies Ltd.,Technology,Equity,1.9%
Nestle India Ltd.,Consumer Staples,Equity,1.9%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.9%
Infosys Ltd.,Technology,Equity,1.8%
Tata Consultancy Services Ltd.,Technology,Equity,1.8%
Cummins India Ltd.,Capital Goods,Equity,1.8%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,1.8%
Dabur India Ltd.,Consumer Staples,Equity,1.8%
ICICI Prudential Life Insurance Company Ltd.,Insurance,Equity,1.8%
ITC Ltd.,Consumer Staples,Equity,1.8%
Pidilite Industries Ltd.,Chemicals,Equity,1.7%
Tech Mahindra Ltd.,Technology,Equity,1.7%
Wipro Ltd.,Technology,Equity,1.7%
Colgate-Palmolive (India) Ltd.,Consumer Staples,Equity,1.6%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.5%
LTIMindtree Ltd.,Technology,Equity,1.4%
Coromandel International Ltd.,Chemicals,Equity,1.3%
Marico Ltd.,Consumer Staples,Equity,1.3%
Mphasis Ltd.,Technology,Equity,1.2%
Abbott India Ltd.,Healthcare,Equity,1.1%
Alkem Laboratories Ltd.,Healthcare,Equity,1.0%
L&T Technology Services Ltd.,Technology,Equity,0.8%
Ipca Laboratories Ltd.,Healthcare,Equity,0.8%
