Name,Sector,Instrument,Assets
Berkshire Hathway Inc (US),Insurance,Forgn. Eq,7.0%
Veritas Global Focus A,Financial,Forgn.MF- Equity,6.6%
Harding Loevner Global Equity Fund Calss A,Financial,Forgn.MF- Equity,5.3%
Lindsell Train Global Equity Calss C,Financial,Forgn.MF- Equity,5.2%
Heptagon Capital LLP,Financial,Forgn.MF- Equity,4.9%
JSW Steel Ltd.,Metals & Mining,Equity,3.2%
ITC Ltd.,Consumer Staples,Equity,2.8%
Bank Of Baroda,Financial,Equity,2.6%
Larsen & Toubro Ltd.,Construction,Equity,2.6%
Bajaj Auto Ltd.,Automobile,Equity,2.5%
Cipla Ltd.,Healthcare,Equity,2.4%
Coromandel International Ltd.,Chemicals,Equity,2.4%
Ambuja Cements Ltd.,Construction,Equity,2.2%
Infosys Ltd.,Technology,Equity,2.1%
HCL Technologies Ltd.,Technology,Equity,2.1%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.1%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.9%
Apollo Tyres Ltd.,Automobile,Equity,1.7%
Bharat Electronics Ltd.,Capital Goods,Equity,1.7%
Radico Khaitan Ltd.,Consumer Staples,Equity,1.6%
Hero Motocorp Ltd.,Automobile,Equity,1.6%
Ipca Laboratories Ltd.,Healthcare,Equity,1.5%
Ultratech Cement Ltd.,Construction,Equity,1.4%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,1.4%
LTIMindtree Ltd.,Technology,Equity,1.4%
Alkem Laboratories Ltd.,Healthcare,Equity,1.3%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.3%
Tech Mahindra Ltd.,Technology,Equity,1.1%
Deepak Nitrite Ltd.,Chemicals,Equity,1.1%
CCL Products (India) Ltd.,Consumer Staples,Equity,1.1%
Kei Industries Ltd.,Capital Goods,Equity,1.0%
Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,1.0%
The Great Eastern Shipping Company Ltd.,Services,Equity,1.0%
Coal India Ltd.,Energy,Equity,1.0%
Mphasis Ltd.,Technology,Equity,0.9%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,0.9%
Bharat Petroleum Corporation Ltd.,Energy,Equity,0.9%
Vardhman Textiles Ltd.,Textiles,Equity,0.9%
Atul Ltd.,Chemicals,Equity,0.9%
Tata Power Company Ltd.,Energy,Equity,0.9%
CESC Ltd.,Energy,Equity,0.8%
Cyient Ltd.,Technology,Equity,0.8%
DCM Shriram Ltd.,Diversified,Equity,0.8%
PCBL Ltd.,Chemicals,Equity,0.8%
Wipro Ltd.,Technology,Equity,0.8%
Triveni Engineering & Industries Ltd.,Consumer Staples,Equity,0.7%
Pfizer Ltd.,Healthcare,Equity,0.7%
KNR Constructions Ltd.,Construction,Equity,0.7%
Gujarat Ambuja Exports Ltd.,Consumer Staples,Equity,0.7%
eClerx Services Ltd.,Services,Equity,0.7%
Avanti Feeds Ltd.,Consumer Staples,Equity,0.7%
K.P.R. Mill Ltd.,Textiles,Equity,0.6%
Aarti Drugs Ltd.,Healthcare,Equity,0.6%
Balaji Amines Ltd.,Chemicals,Equity,0.5%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,0.2%
ACC Ltd.,Construction,Equity,0.1%
Nilkamal Ltd.,Chemicals,Equity,0.1%
Adani Ports and Special Economic Zone Ltd.,Services,Equity,0.1%
