Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,9.1%
Infosys Ltd.,Technology,Equity,6.3%
HDFC Bank Ltd.,Financial,Equity,6.0%
State Bank of India,Financial,Equity,5.1%
Axis Bank Ltd.,Financial,Equity,4.9%
Reliance Industries Ltd.,Energy,Equity,4.9%
Larsen & Toubro Ltd.,Construction,Equity,3.7%
Bajaj Finance Ltd.,Financial,Equity,3.0%
Bharti Airtel Ltd.,Communication,Equity,2.9%
Cummins India Ltd.,Capital Goods,Equity,2.8%
ITC Ltd.,Consumer Staples,Equity,2.8%
Maruti Suzuki India Ltd.,Automobile,Equity,2.5%
Housing Development Finance Corporation Ltd.,Financial,Equity,2.3%
Ultratech Cement Ltd.,Construction,Equity,2.2%
ABB India Ltd.,Capital Goods,Equity,2.1%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.9%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.8%
Bharat Electronics Ltd.,Capital Goods,Equity,1.6%
Brigade Enterprises Ltd.,Construction,Equity,1.6%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.6%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.6%
Trent Ltd.,Services,Equity,1.5%
Navin Fluorine International Ltd.,Chemicals,Equity,1.4%
HCL Technologies Ltd.,Technology,Equity,1.4%
UNO Minda Ltd.,Automobile,Equity,1.4%
Cipla Ltd.,Healthcare,Equity,1.3%
Tata Consultancy Services Ltd.,Technology,Equity,1.2%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.2%
Westlife Foodworld Ltd,Services,Equity,1.1%
PI Industries Ltd.,Chemicals,Equity,1.1%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.1%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,1.0%
Titan Company Ltd.,Consumer Discretionary,Equity,1.0%
Tata Motors Ltd.,Automobile,Equity,0.9%
CreditAccess Grameen Ltd.,Financial,Equity,0.9%
Oberoi Realty Ltd.,Construction,Equity,0.9%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.8%
Kajaria Ceramics Ltd.,Construction,Equity,0.8%
Hero Motocorp Ltd.,Automobile,Equity,0.7%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,0.7%
NTPC Ltd.,Energy,Equity,0.7%
Praj Industries Ltd.,Capital Goods,Equity,0.7%
Astral Ltd.,Chemicals,Equity,0.6%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.6%
The Federal Bank Ltd.,Financial,Equity,0.5%
Ashok Leyland Ltd.,Automobile,Equity,0.5%
Action Construction Equipment Ltd.,Capital Goods,Equity,0.5%
The Phoenix Mills Ltd.,Construction,Equity,0.5%
LIC Housing Finance Ltd.,Financial,Equity,0.5%
Eicher Motors Ltd.,Automobile,Equity,0.4%
GMM Pfaudler Ltd.,Capital Goods,Equity,0.4%
Bikaji Foods International Ltd.,Consumer Staples,Equity,0.3%
Gujarat Gas Ltd.,Energy,Equity,0.3%
Honeywell Automation India Ltd.,Capital Goods,Equity,0.3%
