Name,Sector,Instrument,Assets
Larsen & Toubro Ltd.,Construction,Equity,9.5%
ICICI Bank Ltd.,Financial,Equity,6.8%
Bharti Airtel Ltd.,Communication,Equity,5.0%
NTPC Ltd.,Energy,Equity,4.9%
Reliance Industries Ltd.,Energy,Equity,4.8%
Axis Bank Ltd.,Financial,Equity,4.3%
Kei Industries Ltd.,Capital Goods,Equity,4.1%
State Bank of India,Financial,Equity,4.1%
Power Grid Corporation Of India Ltd.,Energy,Equity,3.7%
Kirloskar Oil Engines Ltd.,Capital Goods,Equity,3.2%
Interglobe Aviation Ltd.,Services,Equity,3.1%
Sobha Ltd.,Construction,Equity,2.6%
Container Corporation Of India Ltd.,Services,Equity,2.4%
Multi Commodity Exchange Of India Ltd.,Services,Equity,2.4%
Bharat Forge Ltd.,Automobile,Equity,2.4%
Ion Exchange (India) Ltd.,Capital Goods,Equity,2.4%
Ashok Leyland Ltd.,Automobile,Equity,2.3%
Indraprastha Gas Ltd.,Energy,Equity,2.0%
Ultratech Cement Ltd.,Construction,Equity,2.0%
Cummins India Ltd.,Capital Goods,Equity,1.8%
Maruti Suzuki India Ltd.,Automobile,Equity,1.7%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,1.7%
Gateway Distriparks Ltd.,Services,Equity,1.7%
Bharat Electronics Ltd.,Capital Goods,Equity,1.6%
MM Forgings Ltd.,Metals & Mining,Equity,1.6%
Tata Steel Ltd.,Metals & Mining,Equity,1.6%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.5%
NRB Bearings Ltd.,Capital Goods,Equity,1.4%
Somany Ceramics Ltd.,Construction,Equity,1.4%
ACC Ltd.,Construction,Equity,1.2%
Kirloskar Pneumatic Company Ltd.,Capital Goods,Equity,1.2%
Escorts Kubota Ltd.,Automobile,Equity,1.1%
ITD Cementation India Ltd.,Construction,Equity,1.0%
JK Lakshmi Cement Ltd.,Construction,Equity,0.8%
CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,0.6%
Puravankara Ltd.,Construction,Equity,0.5%
Finolex Cables Ltd.,Capital Goods,Equity,0.5%
Kaynes Technology India Ltd.,Capital Goods,Equity,0.1%
