Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,8.8%
ICICI Bank Ltd.,Financial,Equity,8.7%
Bharti Airtel Ltd.,Communication,Equity,5.0%
Larsen & Toubro Ltd.,Construction,Equity,4.5%
Axis Bank Ltd.,Financial,Equity,4.5%
Indusind Bank Ltd.,Financial,Equity,3.2%
State Bank of India,Financial,Equity,3.1%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,2.0%
SRF Ltd.,Diversified,Equity,1.7%
Titan Company Ltd.,Consumer Discretionary,Equity,1.2%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.1%
Delhivery Ltd.,Services,Equity,1.1%
Fortis Healthcare Ltd.,Healthcare,Equity,1.1%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.0%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.9%
Tata Motors Ltd.,Automobile,Equity,0.9%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.8%
Bharat Dynamics Ltd.,Capital Goods,Equity,0.8%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,0.7%
Navin Fluorine International Ltd.,Chemicals,Equity,0.6%
Bharat Electronics Ltd.,Capital Goods,Equity,0.5%
