Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,8.7%
ICICI Bank Ltd.,Financial,Equity,8.4%
Infosys Ltd.,Technology,Equity,4.6%
State Bank of India,Financial,Equity,4.2%
HCL Technologies Ltd.,Technology,Equity,4.1%
Bharti Airtel Ltd.,Communication,Equity,4.0%
NTPC Ltd.,Energy,Equity,3.9%
Mahindra & Mahindra Ltd.,Automobile,Equity,3.7%
SBI Life Insurance Company Ltd.,Insurance,Equity,3.6%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,3.3%
Bank Of Baroda,Financial,Equity,3.1%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,2.9%
Cipla Ltd.,Healthcare,Equity,2.9%
Prestige Estates Projects Ltd.,Construction,Equity,2.8%
SBI Cards And Payment Services Ltd.,Financial,Equity,2.7%
Axis Bank Ltd.,Financial,Equity,2.6%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.5%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,2.4%
Escorts Kubota Ltd.,Automobile,Equity,2.2%
Bosch Ltd.,Automobile,Equity,2.2%
GAIL (India) Ltd.,Energy,Equity,2.1%
Larsen & Toubro Ltd.,Construction,Equity,1.8%
Bharat Dynamics Ltd.,Capital Goods,Equity,1.7%
Tech Mahindra Ltd.,Technology,Equity,1.7%
Bharat Petroleum Corporation Ltd.,Energy,Equity,1.6%
Bajaj Auto Ltd.,Automobile,Equity,1.2%
Delhivery Ltd.,Services,Equity,0.8%
Zydus Wellness Ltd.,Consumer Staples,Equity,0.7%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,0.4%
