Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,8.8%
State Bank of India,Financial,Equity,6.7%
HDFC Bank Ltd.,Financial,Equity,6.1%
Infosys Ltd.,Technology,Equity,5.8%
NTPC Ltd.,Energy,Equity,4.4%
HCL Technologies Ltd.,Technology,Equity,4.2%
Bharti Airtel Ltd.,Communication,Equity,4.0%
Larsen & Toubro Ltd.,Construction,Equity,3.9%
Mahindra & Mahindra Ltd.,Automobile,Equity,3.7%
Housing Development Finance Corporation Ltd.,Financial,Equity,3.7%
SBI Life Insurance Company Ltd.,Insurance,Equity,3.3%
Axis Bank Ltd.,Financial,Equity,2.8%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,2.3%
Bank Of Baroda,Financial,Equity,2.3%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,2.1%
Reliance Industries Ltd.,Energy,Equity,2.1%
Cipla Ltd.,Healthcare,Equity,2.0%
Bharat Dynamics Ltd.,Capital Goods,Equity,1.8%
SBI Cards And Payment Services Ltd.,Financial,Equity,1.8%
Tech Mahindra Ltd.,Technology,Equity,1.5%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,1.4%
Coal India Ltd.,Energy,Equity,1.3%
ITC Ltd.,Consumer Staples,Equity,1.2%
Bharat Petroleum Corporation Ltd.,Energy,Equity,1.2%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,1.1%
Ultratech Cement Ltd.,Construction,Equity,1.0%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,1.0%
GAIL (India) Ltd.,Energy,Equity,1.0%
Indian Railway Finance Corporation Ltd.,Financial,Equity,1.0%
Tata Motors Ltd.,Automobile,Equity,0.8%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.8%
BEML Ltd.,Capital Goods,Equity,0.8%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.7%
CESC Ltd.,Energy,Equity,0.7%
Tata Communications Ltd.,Communication,Equity,0.7%
Varroc Engineering Ltd.,Automobile,Equity,0.5%
Delhivery Ltd.,Services,Equity,0.4%
Bosch Ltd.,Automobile,Equity,0.4%
Life Insurance Corporation of India,Insurance,Equity,0.3%
Bharat Electronics Ltd.,Capital Goods,Equity,0.3%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.3%
Time Technoplast Ltd.,Chemicals,Equity,0.3%
Hindustan Construction Company Ltd.,Construction,Equity,0.2%
Interglobe Aviation Ltd.,Services,Equity,0.2%
BEML Land Assets Ltd.,Services,Equity,0.1%
Ramco Systems Ltd.,Technology,Equity,0.1%
