Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,4.1%
HDFC Bank Ltd.,Financial,Equity,3.8%
Infosys Ltd.,Technology,Equity,2.9%
Reliance Industries Ltd.,Energy,Equity,2.3%
State Bank of India,Financial,Equity,2.0%
Tata Consultancy Services Ltd.,Technology,Equity,1.9%
ITC Ltd.,Consumer Staples,Equity,1.7%
Larsen & Toubro Ltd.,Construction,Equity,1.7%
The Indian Hotels Company Ltd.,Services,Equity,1.7%
Apar Industries Ltd.,Diversified,Equity,1.7%
Max Healthcare Institute Ltd.,Healthcare,Equity,1.6%
Ultratech Cement Ltd.,Construction,Equity,1.5%
Escorts Kubota Ltd.,Automobile,Equity,1.4%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,1.4%
HCL Technologies Ltd.,Technology,Equity,1.3%
Timken India Ltd.,Capital Goods,Equity,1.3%
The Federal Bank Ltd.,Financial,Equity,1.3%
Housing Development Finance Corporation Ltd.,Financial,Equity,1.2%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,1.2%
Tata Motors Ltd.,Automobile,Equity,1.1%
Apollo Tyres Ltd.,Automobile,Equity,1.1%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.1%
Axis Bank Ltd.,Financial,Equity,1.1%
Vesuvius India Ltd.,Construction,Equity,1.1%
360 One Wam Ltd,Financial,Equity,1.1%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.0%
Indusind Bank Ltd.,Financial,Equity,1.0%
Coal India Ltd.,Energy,Equity,1.0%
Atul Ltd.,Chemicals,Equity,1.0%
Tata Communications Ltd.,Communication,Equity,1.0%
Archean Chemical Industries Ltd.,Chemicals,Equity,1.0%
Wheels India Ltd.,Automobile,Equity,1.0%
Carborundum Universal Ltd.,Metals & Mining,Equity,1.0%
Supreme Industries Ltd.,Chemicals,Equity,0.9%
Bharat Forge Ltd.,Automobile,Equity,0.9%
Ambuja Cements Ltd.,Construction,Equity,0.9%
Shriram Finance Ltd,Financial,Equity,0.9%
NTPC Ltd.,Energy,Equity,0.9%
Bharti Airtel Ltd.,Communication,Equity,0.8%
Tata Steel Ltd.,Metals & Mining,Equity,0.8%
The Great Eastern Shipping Company Ltd.,Services,Equity,0.8%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.8%
Kotak Mahindra Bank Ltd.,Financial,Equity,0.8%
Metro Brands Ltd.,Consumer Staples,Equity,0.7%
Navin Fluorine International Ltd.,Chemicals,Equity,0.7%
United Spirits Ltd.,Consumer Staples,Equity,0.7%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.7%
Persistent Systems Ltd.,Technology,Equity,0.7%
Prudent Corporate Advisory Services Ltd.,Financial,Equity,0.7%
CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,0.7%
MTAR Technologies Ltd.,Capital Goods,Equity,0.7%
Cipla Ltd.,Healthcare,Equity,0.7%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,0.7%
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,0.7%
Mphasis Ltd.,Technology,Equity,0.7%
Techno Electric & Engineering Company Ltd.,Capital Goods,Equity,0.7%
Asian Paints Ltd.,Chemicals,Equity,0.7%
Centum Electronics Ltd.,Capital Goods,Equity,0.7%
Voltas Ltd.,Consumer Discretionary,Equity,0.6%
Hindustan Construction Company Ltd.,Construction,Equity,0.6%
Dabur India Ltd.,Consumer Staples,Equity,0.6%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.6%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.6%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,0.6%
Bajaj Electricals Ltd.,Consumer Discretionary,Equity,0.6%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,0.6%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,0.6%
Pidilite Industries Ltd.,Chemicals,Equity,0.6%
Delta Corp Ltd.,Services,Equity,0.6%
United Breweries Ltd.,Consumer Staples,Equity,0.6%
Maruti Suzuki India Ltd.,Automobile,Equity,0.6%
Ipca Laboratories Ltd.,Healthcare,Equity,0.5%
Aarti Industries Ltd.,Chemicals,Equity,0.5%
Chalet Hotels Ltd.,Services,Equity,0.5%
REC Ltd.,Financial,Equity,0.5%
Bharat Electronics Ltd.,Capital Goods,Equity,0.5%
Tech Mahindra Ltd.,Technology,Equity,0.5%
Bandhan Bank Ltd.,Financial,Equity,0.5%
Elecon Engineering Company Ltd.,Capital Goods,Equity,0.5%
Kajaria Ceramics Ltd.,Construction,Equity,0.5%
The Ramco Cements Ltd.,Construction,Equity,0.5%
Bharat Dynamics Ltd.,Capital Goods,Equity,0.5%
Sundaram Finance Ltd.,Financial,Equity,0.5%
Torrent Power Ltd.,Energy,Equity,0.5%
Power Finance Corporation Ltd.,Financial,Equity,0.5%
Bank Of Baroda,Financial,Equity,0.5%
