Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,8.8%
ICICI Bank Ltd.,Financial,Equity,8.7%
Reliance Industries Ltd.,Energy,Equity,6.8%
Infosys Ltd.,Technology,Equity,6.1%
Housing Development Finance Corporation Ltd.,Financial,Equity,5.5%
ITC Ltd.,Consumer Staples,Equity,4.6%
State Bank of India,Financial,Equity,4.4%
NTPC Ltd.,Energy,Equity,4.0%
Axis Bank Ltd.,Financial,Equity,3.9%
Larsen & Toubro Ltd.,Construction,Equity,3.9%
Coal India Ltd.,Energy,Equity,3.3%
Tata Consultancy Services Ltd.,Technology,Equity,3.0%
Bharti Airtel Ltd.,Communication,Equity,2.5%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.3%
Power Finance Corporation Ltd.,Financial,Equity,1.9%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.8%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.6%
Lupin Ltd. - (Preference Shares),Healthcare,Equity,1.4%
HCL Technologies Ltd.,Technology,Equity,1.3%
Indusind Bank Ltd.,Financial,Equity,1.1%
Ultratech Cement Ltd.,Construction,Equity,1.0%
Tata Motors Ltd.,Automobile,Equity,1.0%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.9%
Tata Consumer Products Ltd.,Consumer Staples,Equity,0.9%
REC Ltd.,Financial,Equity,0.9%
Hindustan Unilever Ltd.,Consumer Staples,Equity,0.8%
Oil & Natural Gas Corporation Ltd.,Energy,Equity,0.8%
Bharat Petroleum Corporation Ltd.,Energy,Equity,0.8%
Cipla Ltd.,Healthcare,Equity,0.7%
Bharat Electronics Ltd.,Capital Goods,Equity,0.7%
SBI Cards And Payment Services Ltd.,Financial,Equity,0.7%
Maruti Suzuki India Ltd.,Automobile,Equity,0.7%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,0.7%
Wipro Ltd.,Technology,Equity,0.6%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.5%
Siemens Ltd.,Capital Goods,Equity,0.5%
HDFC Life Insurance Co Ltd.,Insurance,Equity,0.5%
Aurobindo Pharma Ltd.,Healthcare,Equity,0.4%
Ambuja Cements Ltd.,Construction,Equity,0.4%
Bank Of Baroda,Financial,Equity,0.4%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,0.4%
SRF Ltd.,Diversified,Equity,0.4%
Tata Steel Ltd.,Metals & Mining,Equity,0.4%
Zee Entertainment Enterprises Ltd.,Services,Equity,0.4%
Dabur India Ltd.,Consumer Staples,Equity,0.4%
Tata Communications Ltd.,Communication,Equity,0.4%
Life Insurance Corporation of India,Insurance,Equity,0.3%
Container Corporation Of India Ltd.,Services,Equity,0.3%
Bajaj Auto Ltd.,Automobile,Equity,0.3%
Hero Motocorp Ltd.,Automobile,Equity,0.3%
ABB India Ltd.,Capital Goods,Equity,0.1%
