Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,9.9%
ICICI Bank Ltd.,Financial,Equity,9.3%
Reliance Industries Ltd.,Energy,Equity,7.1%
Infosys Ltd.,Technology,Equity,6.3%
Larsen & Toubro Ltd.,Construction,Equity,5.8%
Axis Bank Ltd.,Financial,Equity,5.2%
Hindustan Unilever Ltd.,Consumer Staples,Equity,5.1%
State Bank of India,Financial,Equity,4.3%
ITC Ltd.,Consumer Staples,Equity,4.0%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,3.6%
Maruti Suzuki India Ltd.,Automobile,Equity,3.5%
Tata Consultancy Services Ltd.,Technology,Equity,2.8%
Bharti Airtel Ltd.,Communication,Equity,2.8%
Titan Company Ltd.,Consumer Discretionary,Equity,2.7%
DLF Ltd. - (DLF),Construction,Equity,2.6%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.6%
Rainbow Children's Medicare Ltd.,Healthcare,Equity,2.0%
Kei Industries Ltd.,Capital Goods,Equity,2.0%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,2.0%
PI Industries Ltd.,Chemicals,Equity,2.0%
Coforge Ltd.,Technology,Equity,2.0%
SRF Ltd.,Diversified,Equity,2.0%
Ambuja Cements Ltd.,Construction,Equity,1.8%
Tata Motors Ltd.,Automobile,Equity,1.8%
Avenue Supermarts Ltd.,Services,Equity,1.6%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.5%
