Name,Sector,Instrument,Assets
The Federal Bank Ltd.,Financial,Equity,3.6%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,3.5%
ICICI Bank Ltd.,Financial,Equity,3.4%
Cholamandalam Investment & Finance Company Ltd.,Financial,Equity,3.3%
Multi Commodity Exchange Of India Ltd.,Services,Equity,3.1%
PI Industries Ltd.,Chemicals,Equity,3.0%
Ashok Leyland Ltd.,Automobile,Equity,2.8%
ABB India Ltd.,Capital Goods,Equity,2.8%
The Indian Hotels Company Ltd.,Services,Equity,2.8%
Carborundum Universal Ltd.,Metals & Mining,Equity,2.7%
Navin Fluorine International Ltd.,Chemicals,Equity,2.7%
Laurus Labs Ltd.,Healthcare,Equity,2.7%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,2.7%
Polycab India Ltd.,Capital Goods,Equity,2.6%
Max Healthcare Institute Ltd.,Healthcare,Equity,2.5%
Kajaria Ceramics Ltd.,Construction,Equity,2.5%
Radico Khaitan Ltd.,Consumer Staples,Equity,2.4%
Vinati Organics Ltd.,Chemicals,Equity,2.4%
SRF Ltd.,Diversified,Equity,2.4%
Max Financial Services Ltd.,Financial,Equity,2.3%
Dalmia Bharat Ltd.,Construction,Equity,2.2%
ACC Ltd.,Construction,Equity,2.2%
Phoenix Mills Ltd.,Construction,Equity,2.0%
Emami Ltd.,Consumer Staples,Equity,2.0%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,2.0%
Metropolis Healthcare Ltd.,Healthcare,Equity,1.9%
Gujarat Gas Ltd.,Energy,Equity,1.9%
United Breweries Ltd.,Consumer Staples,Equity,1.9%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.7%
Page Industries Ltd.,Textiles,Equity,1.6%
Rainbow Childrens Medicare Ltd.,Healthcare,Equity,1.5%
INOX Leisure Ltd.,Services,Equity,1.4%
Coforge Ltd.,Technology,Equity,1.4%
Persistent Systems Ltd.,Technology,Equity,1.4%
Oberoi Realty Ltd.,Construction,Equity,1.4%
Aarti Industries Ltd.,Chemicals,Equity,1.3%
Balkrishna Industries Ltd.,Automobile,Equity,1.3%
RateGain Travel Technologies Ltd.,Technology,Equity,1.3%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.2%
Mphasis Ltd.,Technology,Equity,1.1%
Arvind Ltd.,Textiles,Equity,1.0%
JK Cement Ltd,Construction,Equity,1.0%
Indraprastha Gas Ltd.,Energy,Equity,1.0%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,0.8%
Alkem Laboratories Ltd.,Healthcare,Equity,0.8%
Ipca Laboratories Ltd.,Healthcare,Equity,0.8%
Atul Ltd.,Chemicals,Equity,0.8%
Prestige Estates Projects Ltd.,Construction,Equity,0.7%
Canara Bank,Financial,Equity,0.5%
