Name,Sector,Instrument,Assets
K.P.R. Mill Ltd.,Textiles,Equity,3.0%
RHI Magnesita India Ltd.,Construction,Equity,2.9%
JK Lakshmi Cement Ltd.,Construction,Equity,2.7%
City Union Bank Ltd.,Financial,Equity,2.5%
E.I.D. - Parry (India) Ltd.,Consumer Staples,Equity,2.5%
Indian Bank,Financial,Equity,2.5%
Apar Industries Ltd.,Diversified,Equity,2.4%
Grindwell Norton Ltd.,Metals & Mining,Equity,2.3%
Carborundum Universal Ltd.,Metals & Mining,Equity,2.3%
Kei Industries Ltd.,Capital Goods,Equity,2.2%
Brigade Enterprises Ltd.,Construction,Equity,2.0%
Finolex Industries Ltd.,Chemicals,Equity,2.0%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,2.0%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,2.0%
Tube Investments Of India Ltd.,Automobile,Equity,2.0%
EIH Ltd.,Services,Equity,2.0%
Cera Sanitaryware Ltd.,Construction,Equity,1.9%
Mahindra Lifespace Developers Ltd.,Construction,Equity,1.8%
KPIT Technologies Ltd.,Technology,Equity,1.8%
Sonata Software Ltd.,Technology,Equity,1.6%
Supreme Petrochem Ltd.,Chemicals,Equity,1.5%
Lakshmi Machine Works Ltd.,Capital Goods,Equity,1.5%
GMM Pfaudler Ltd.,Capital Goods,Equity,1.5%
Polycab India Ltd.,Capital Goods,Equity,1.3%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,1.3%
Jamna Auto Industries Ltd.,Automobile,Equity,1.3%
Finolex Cables Ltd.,Capital Goods,Equity,1.3%
Karur Vysya Bank Ltd.,Financial,Equity,1.2%
Sumitomo Chemical India Ltd.,Chemicals,Equity,1.2%
Persistent Systems Ltd.,Technology,Equity,1.2%
Navin Fluorine International Ltd.,Chemicals,Equity,1.2%
H.G. Infra Engineering Ltd.,Construction,Equity,1.2%
Aegis Logistics Ltd.,Services,Equity,1.2%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,1.1%
KEC International Ltd.,Capital Goods,Equity,1.1%
Trent Ltd.,Services,Equity,1.0%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.0%
Techno Electric & Engineering Company Ltd.,Capital Goods,Equity,1.0%
Maharashtra Seamless Ltd.,Metals & Mining,Equity,1.0%
Sunteck Realty Ltd.,Construction,Equity,0.9%
Sobha Ltd.,Construction,Equity,0.9%
Deepak Nitrite Ltd.,Chemicals,Equity,0.9%
Fine Organic Industries Ltd.,Chemicals,Equity,0.9%
Amber Enterprises India Ltd.,Consumer Discretionary,Equity,0.9%
UNO Minda Ltd.,Automobile,Equity,0.9%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,0.9%
CCL Products (India) Ltd.,Consumer Staples,Equity,0.9%
Welspun India Ltd.,Textiles,Equity,0.9%
The Ramco Cements Ltd.,Construction,Equity,0.9%
Apollo Pipes Ltd.,Chemicals,Equity,0.8%
MM Forgings Ltd.,Metals & Mining,Equity,0.8%
Somany Ceramics Ltd.,Construction,Equity,0.8%
Rolex Rings Ltd,Capital Goods,Equity,0.8%
Can Fin Homes Ltd.,Financial,Equity,0.8%
Asahi India Glass Ltd.,Construction,Equity,0.8%
Kajaria Ceramics Ltd.,Construction,Equity,0.8%
Kirloskar Pneumatic Company Ltd.,Capital Goods,Equity,0.8%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.8%
Alkyl Amines Chemicals Ltd.,Chemicals,Equity,0.8%
VRL Logistics Ltd.,Services,Equity,0.7%
Birlasoft Ltd.,Technology,Equity,0.7%
PNC Infratech Ltd.,Construction,Equity,0.7%
Gokaldas Exports Ltd.,Textiles,Equity,0.7%
Emami Ltd.,Consumer Staples,Equity,0.6%
Happiest Minds Technologies Ltd.,Technology,Equity,0.6%
Supreme Industries Ltd.,Chemicals,Equity,0.6%
Century Plyboards (India) Ltd.,Consumer Staples,Equity,0.6%
Prudent Corporate Advisory Services Ltd.,Financial,Equity,0.6%
The Federal Bank Ltd.,Financial,Equity,0.6%
Greenply Industries Ltd.,Consumer Staples,Equity,0.6%
V-Mart Retail Ltd.,Services,Equity,0.6%
Sterling Tools Ltd.,Capital Goods,Equity,0.5%
V.S.T. Tillers Tractors Ltd.,Automobile,Equity,0.5%
IIFL Finance Ltd.,Financial,Equity,0.4%
Emami Paper Mills Ltd.,Consumer Staples,Equity,0.4%
Century Textiles & Industries Ltd.,Consumer Staples,Equity,0.4%
Orient Paper & Industries Ltd.,Consumer Staples,Equity,0.4%
Multi Commodity Exchange Of India Ltd.,Services,Equity,0.3%
ISGEC Heavy Engineering Ltd.,Capital Goods,Equity,0.3%
NCC Ltd.,Construction,Equity,0.3%
Timken India Ltd.,Capital Goods,Equity,0.3%
Nitin Spinners Ltd.,Textiles,Equity,0.3%
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,0.3%
Wim Plast Ltd.,Chemicals,Equity,0.3%
Shyam Metalics And Energy Ltd.,Metals & Mining,Equity,0.2%
Gujarat Pipavav Port Ltd.,Services,Equity,0.2%
Radico Khaitan Ltd.,Consumer Staples,Equity,0.1%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,0.1%
Oriental Carbon & Chemicals Ltd.,Chemicals,Equity,0.1%
Rainbow Children's Medicare Ltd.,Healthcare,Equity,0.1%
