Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,9.3%
ICICI Bank Ltd.,Financial,Equity,9.1%
Infosys Ltd.,Technology,Equity,7.6%
Reliance Industries Ltd.,Energy,Equity,6.0%
Larsen & Toubro Ltd.,Construction,Equity,4.4%
State Bank of India,Financial,Equity,4.3%
Axis Bank Ltd.,Financial,Equity,3.6%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,3.1%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.5%
Hindustan Unilever Ltd.,Consumer Staples,Equity,2.5%
DLF Ltd. - (DLF),Construction,Equity,2.5%
Bajaj Finance Ltd.,Financial,Equity,2.4%
Tata Consultancy Services Ltd.,Technology,Equity,2.3%
Prudent Corporate Advisory Services Ltd.,Financial,Equity,2.1%
Kei Industries Ltd.,Capital Goods,Equity,2.1%
ACC Ltd.,Construction,Equity,2.0%
INOX Leisure Ltd.,Services,Equity,2.0%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.8%
Titan Company Ltd.,Consumer Discretionary,Equity,1.8%
Maruti Suzuki India Ltd.,Automobile,Equity,1.8%
PI Industries Ltd.,Chemicals,Equity,1.7%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.6%
United Breweries Ltd.,Consumer Staples,Equity,1.6%
SBI Cards And Payment Services Ltd.,Financial,Equity,1.6%
The Phoenix Mills Ltd.,Construction,Equity,1.5%
Amber Enterprises India Ltd.,Consumer Discretionary,Equity,1.5%
Rainbow Children's Medicare Ltd.,Healthcare,Equity,1.5%
TVS Motor Company Ltd.,Automobile,Equity,1.4%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,1.4%
RateGain Travel Technologies Ltd.,Technology,Equity,1.3%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,1.3%
Gland Pharma Ltd.,Healthcare,Equity,1.2%
SRF Ltd.,Diversified,Equity,1.2%
PNC Infratech Ltd.,Construction,Equity,1.1%
AU Small Finance Bank Ltd.,Financial,Equity,1.1%
Kajaria Ceramics Ltd.,Construction,Equity,1.1%
Container Corporation Of India Ltd.,Services,Equity,1.0%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,0.9%
Godrej Consumer Products Ltd.,Consumer Staples,Equity,0.9%
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,0.5%
