Name,Sector,Instrument,Assets
JSW Steel Ltd.,Metals & Mining,Equity,9.1%
Ultratech Cement Ltd.,Construction,Equity,8.5%
Jindal Stainless Ltd.,Metals & Mining,Equity,7.4%
Ambuja Cements Ltd.,Construction,Equity,7.2%
Tata Steel Ltd.,Metals & Mining,Equity,6.9%
Grasim Industries Ltd.,Construction,Equity,5.9%
Steel Authority Of India Ltd.,Metals & Mining,Equity,5.1%
NMDC Ltd.,Metals & Mining,Equity,4.7%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,4.3%
Gujarat Gas Ltd.,Energy,Equity,4.0%
ACC Ltd.,Construction,Equity,3.7%
Bharat Petroleum Corporation Ltd.,Energy,Equity,3.5%
Shree Cement Ltd.,Construction,Equity,3.3%
Birla Corporation Ltd.,Construction,Equity,2.9%
JK Lakshmi Cement Ltd.,Construction,Equity,2.7%
Hindalco Industries Ltd.,Metals & Mining,Equity,2.6%
Orient Cement Ltd.,Construction,Equity,2.6%
Nuvoco Vistas Corporation Ltd.,Construction,Equity,2.3%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,2.3%
UPL Ltd.,Chemicals,Equity,1.8%
Chambal Fertilisers and Chemicals Ltd.,Chemicals,Equity,1.5%
NMDC Steel Ltd.,Metals & Mining,Equity,1.0%
Camlin Fine Sciences Ltd.,Chemicals,Equity,1.0%
Rain Industries Ltd.,Chemicals,Equity,0.7%
Coromandel International Ltd.,Chemicals,Equity,0.7%
Sudarshan Chemical Industries Ltd.,Chemicals,Equity,0.1%
