Name,Sector,Instrument,Assets
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,8.0%
ICICI Bank Ltd.,Financial,Equity,7.1%
Axis Bank Ltd.,Financial,Equity,6.9%
HCL Technologies Ltd.,Technology,Equity,5.8%
Infosys Ltd.,Technology,Equity,4.9%
Bharti Airtel Ltd.,Communication,Equity,4.0%
NTPC Ltd.,Energy,Equity,3.8%
ICICI Lombard General Insurance Company Ltd.,Insurance,Equity,3.1%
State Bank of India,Financial,Equity,3.1%
Kalpataru Power Transmission Ltd.,Capital Goods,Equity,2.9%
LIC Housing Finance Ltd.,Financial,Equity,2.5%
Muthoot Finance Ltd.,Financial,Equity,2.4%
Gujarat State Petronet Ltd.,Energy,Equity,2.4%
The Federal Bank Ltd.,Financial,Equity,2.3%
Zee Entertainment Enterprises Ltd.,Services,Equity,2.2%
Gland Pharma Ltd.,Healthcare,Equity,2.2%
SBI Life Insurance Company Ltd.,Insurance,Equity,2.0%
HDFC Bank Ltd.,Financial,Equity,2.0%
Barbeque-Nation Hospitality Ltd.,Services,Equity,1.7%
Natco Pharma Ltd.,Healthcare,Equity,1.5%
PVR Ltd.,Services,Equity,1.4%
Samvardhana Motherson International Ltd.,Automobile,Equity,1.4%
Comcast Corporation (USA),Services,Forgn. Eq,1.3%
Vodafone Group Plc (UK),Communication,Forgn. Eq,1.3%
Sun TV Network Ltd.,Services,Equity,1.2%
Can Fin Homes Ltd.,Financial,Equity,1.1%
Global Health Ltd.,Healthcare,Equity,1.1%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,1.0%
Indiamart Intermesh Ltd.,Services,Equity,1.0%
Mahanagar Gas Ltd.,Energy,Equity,1.0%
Max Financial Services Ltd.,Financial,Equity,1.0%
Biocon Ltd.,Healthcare,Equity,0.9%
TeamLease Services Ltd.,Services,Equity,0.9%
JM Financial Ltd.,Financial,Equity,0.9%
EPL Ltd.,Chemicals,Equity,0.8%
NHPC Ltd.,Energy,Equity,0.8%
Ajanta Pharma Ltd.,Healthcare,Equity,0.7%
Facebook Co,Services,Forgn. Eq,0.7%
City Union Bank Ltd.,Financial,Equity,0.6%
Wells Fargo,Financial,Forgn. Eq,0.6%
Ethos Ltd.,Services,Equity,0.6%
Chalet Hotels Ltd.,Services,Equity,0.5%
SJVN Ltd.,Energy,Equity,0.5%
Reserve Bank of India,Financial,T-Bills,0.5%
Reserve Bank of India,Financial,T-Bills,0.5%
Bharti Airtel Ltd. - (Partly Paid up Equity Shares (Rights Issue)),Communication,PPE,0.4%
Gujarat Pipavav Port Ltd.,Services,Equity,0.1%
